#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.6548058466e+01    5.8677527762e+03   -1.5744049344e+02    8.0892434973e+01    3.6612805552e+01    9.1895337630e+00   -2.0324283275e+02    2.4000000000e+02    1.9740372896e-02    6.3843055556e-01
         1   -7.5817159909e+01    5.7659278676e+03   -1.5690411555e+02    8.1086955642e+01    3.8914515955e+01    9.1895337630e+00   -2.0500816527e+02    2.4000000000e+02    1.5772134066e-02    6.3386111111e-01
         2   -7.6189327320e+01    5.8192024659e+03   -1.5437854114e+02    7.8189213823e+01    3.8674824675e+01    9.1895337630e+00   -2.0224289958e+02    2.4000000000e+02    1.5778064728e-02    6.3427777778e-01
         3   -7.5838736137e+01    5.7679851558e+03   -1.5059630119e+02    7.4757565050e+01    3.7833168229e+01    9.1895337630e+00   -1.9761900318e+02    2.4000000000e+02    1.5929937363e-02    6.3741666667e-01
         4   -7.6271227037e+01    5.8312211452e+03   -1.5147851733e+02    7.5207290290e+01    3.7625005202e+01    9.1895337630e+00   -1.9829305629e+02    2.4000000000e+02    1.5707939863e-02    6.3468055556e-01
         5   -7.5944820816e+01    5.7798351351e+03   -1.5129865364e+02    7.5353832823e+01    3.8162982680e+01    9.1895337630e+00   -1.9865117008e+02    2.4000000000e+02    1.5830099583e-02    6.4015277778e-01
         6   -7.6054371197e+01    5.7954759926e+03   -1.4177175371e+02    6.5717382512e+01    3.7849265793e+01    9.1895337630e+00   -1.8881055326e+02    2.4000000000e+02    1.5767127275e-02    6.4025000000e-01
         7   -7.5881852542e+01    5.7700795298e+03   -1.5791497495e+02    8.2033122408e+01    3.8313196215e+01    9.1895337630e+00   -2.0541770493e+02    2.4000000000e+02    1.5762031078e-02    6.3593055556e-01
         8   -7.6052059442e+01    5.7956417513e+03   -1.4772829040e+02    7.1676230953e+01    3.7158289894e+01    9.1895337630e+00   -1.9407611405e+02    2.4000000000e+02    1.5806615353e-02    6.4068055556e-01
         9   -7.5630650468e+01    5.7330088556e+03   -1.5578630471e+02    8.0155654242e+01    3.8629148696e+01    9.1895337630e+00   -2.0360498717e+02    2.4000000000e+02    1.5781342983e-02    6.3926388889e-01
        10   -7.5461516612e+01    5.7209914100e+03   -1.4270853262e+02    6.7247016013e+01    3.7608313012e+01    9.1895337630e+00   -1.8950637940e+02    2.4000000000e+02    1.5782922506e-02    6.3684722222e-01
        11   -7.6362721334e+01    5.8396453103e+03   -1.6132091660e+02    8.4958195268e+01    3.7080814658e+01    9.1895337630e+00   -2.0759126502e+02    2.4000000000e+02    1.5827566385e-02    6.3795833333e-01
        12   -7.5958481354e+01    5.7958891003e+03   -1.7274378457e+02    9.6785303221e+01    3.9115265059e+01    9.1895337630e+00   -2.2104858340e+02    2.4000000000e+02    1.5759766102e-02    6.3498611111e-01
        13   -7.6738251822e+01    5.8966793167e+03   -1.5225730654e+02    7.5519054715e+01    3.6834306843e+01    9.1895337630e+00   -1.9828114714e+02    2.4000000000e+02    1.5780627728e-02    6.3940277778e-01
        14   -7.6393545347e+01    5.8469704181e+03   -1.5373665695e+02    7.7343111604e+01    3.6789267916e+01    9.1895337630e+00   -1.9971545863e+02    2.4000000000e+02    1.5770584345e-02    6.3701388889e-01
        15   -7.5567440702e+01    5.7329353803e+03   -1.4467183635e+02    6.9104395648e+01    3.9451207690e+01    9.1895337630e+00   -1.9331257780e+02    2.4000000000e+02    1.5756666660e-02    6.3368055556e-01
        16   -7.6049655610e+01    5.7971998681e+03   -1.4952697150e+02    7.3477315893e+01    3.8323465909e+01    9.1895337630e+00   -1.9703997117e+02    2.4000000000e+02    1.5764534473e-02    6.3809722222e-01
        17   -7.5572466738e+01    5.7344587402e+03   -1.5671351578e+02    8.1141049047e+01    3.7611176353e+01    9.1895337630e+00   -2.0351422590e+02    2.4000000000e+02    1.5775889158e-02    6.3836111111e-01
        18   -7.5820083846e+01    5.7692422918e+03   -1.5025880493e+02    7.4438721085e+01    3.8581999894e+01    9.1895337630e+00   -1.9803033859e+02    2.4000000000e+02    1.5726238489e-02    6.3302777778e-01
        19   -7.6301704518e+01    5.8316066083e+03   -1.4598238741e+02    6.9680682895e+01    3.8024387560e+01    9.1895337630e+00   -1.9319630874e+02    2.4000000000e+02    1.5786528587e-02    6.3709722222e-01
        20   -7.5920742835e+01    5.7808700505e+03   -1.3980579905e+02    6.3885056217e+01    3.9040245622e+01    9.1895337630e+00   -1.8803557844e+02    2.4000000000e+02    1.5655994415e-02    6.3752777778e-01
        21   -7.6165235437e+01    5.8149644497e+03   -1.4956287796e+02    7.3397642526e+01    3.8370940274e+01    9.1895337630e+00   -1.9712335200e+02    2.4000000000e+02    1.5684545040e-02    6.3659722222e-01
        22   -7.6468940590e+01    5.8604626735e+03   -1.6466653345e+02    8.8197592855e+01    3.8486232046e+01    9.1895337630e+00   -2.1234229925e+02    2.4000000000e+02    1.5636771917e-02    6.3434722222e-01
        23   -7.6281536271e+01    5.8333266457e+03   -1.5306722543e+02    7.6785689159e+01    3.6916089684e+01    9.1895337630e+00   -1.9917284888e+02    2.4000000000e+02    1.5685409307e-02    6.3858333333e-01
        24   -7.6258391778e+01    5.8316023877e+03   -1.5728157272e+02    8.1023180938e+01    3.7912167690e+01    9.1895337630e+00   -2.0438327417e+02    2.4000000000e+02    1.5971809626e-02    6.3719444444e-01
        25   -7.6375136081e+01    5.8434524451e+03   -1.3944842456e+02    6.3073288477e+01    3.6399664815e+01    9.1895337630e+00   -1.8503762314e+02    2.4000000000e+02    1.5672117472e-02    6.4263888889e-01
        26   -7.6364635455e+01    5.8406008044e+03   -1.5045782074e+02    7.4093185285e+01    3.8241340438e+01    9.1895337630e+00   -1.9788869494e+02    2.4000000000e+02    1.5615195036e-02    6.3586111111e-01
        27   -7.5920256484e+01    5.7838098308e+03   -1.5490874444e+02    7.8988487954e+01    3.8888104068e+01    9.1895337630e+00   -2.0298638227e+02    2.4000000000e+02    1.5596926212e-02    6.3205555556e-01
        28   -7.6083927355e+01    5.8059415208e+03   -1.5566709758e+02    7.9583170228e+01    3.8011628249e+01    9.1895337630e+00   -2.0286825960e+02    2.4000000000e+02    1.5783518553e-02    6.3465277778e-01
        29   -7.6352321072e+01    5.8429199162e+03   -1.5594189414e+02    7.9589573065e+01    3.8385278064e+01    9.1895337630e+00   -2.0351670596e+02    2.4000000000e+02    1.5658944845e-02    6.3673611111e-01
        30   -7.6066466529e+01    5.8014870673e+03   -1.5268808800e+02    7.6621621474e+01    3.7791902143e+01    9.1895337630e+00   -1.9966952391e+02    2.4000000000e+02    1.5786916018e-02    6.3729166667e-01
        31   -7.5704277147e+01    5.7660068481e+03   -1.5607120962e+02    8.0366932468e+01    3.8501919292e+01    9.1895337630e+00   -2.0376266267e+02    2.4000000000e+02    1.5621513128e-02    6.3502777778e-01
        32   -7.5580461929e+01    5.7922606520e+03   -1.4230953798e+02    6.6729076047e+01    3.8500599492e+01    9.1895337630e+00   -1.8999967123e+02    2.4000000000e+02    1.5613734722e-02    6.3873611111e-01
        33   -7.6427654949e+01    5.8494528993e+03   -1.6222364026e+02    8.5795985307e+01    3.7623202621e+01    9.1895337630e+00   -2.0903637664e+02    2.4000000000e+02    1.5625834465e-02    6.3851388889e-01
        34   -7.6072120704e+01    5.8024429691e+03   -1.4695286323e+02    7.0880742528e+01    3.7973101932e+01    9.1895337630e+00   -1.9411549893e+02    2.4000000000e+02    1.5745401382e-02    6.3773611111e-01
