#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.5168765424e+01    5.6605551597e+03   -1.6556155921e+02    9.0392793783e+01    3.9373545103e+01    9.1895337630e+00   -2.1412463807e+02    8.0000000000e+00    2.9031038284e-03    5.3083333333e-01
         1   -7.6566514230e+01    5.8639058080e+03   -1.3286829836e+02    5.6301784133e+01    3.5255056731e+01    9.1895337630e+00   -1.7731288886e+02    8.0000000000e+00    2.8272271156e-03    5.4833333333e-01
         2   -7.6305440678e+01    5.8235827033e+03   -1.2501347707e+02    4.8708036392e+01    3.5913578110e+01    9.1895337630e+00   -1.7011658894e+02    8.0000000000e+00    2.8108954430e-03    5.2750000000e-01
         3   -7.6405590522e+01    5.8388494833e+03   -1.1500993647e+02    3.8604345950e+01    3.4026782328e+01    9.1895337630e+00   -1.5822625256e+02    8.0000000000e+00    4.7152340412e-03    5.5375000000e-01
         4   -7.6296528047e+01    5.8219457778e+03   -1.3131365860e+02    5.5017130552e+01    3.7571873153e+01    9.1895337630e+00   -1.7807506552e+02    8.0000000000e+00    2.8982162476e-03    5.3958333333e-01
         5   -7.5673171668e+01    5.7275155557e+03   -1.3431074739e+02    5.8637575723e+01    3.5751670536e+01    9.1895337630e+00   -1.7925195169e+02    8.0000000000e+00    3.0404329300e-03    5.4875000000e-01
         6   -7.6286639486e+01    5.8208738843e+03   -1.8062268589e+02    1.0433604641e+02    3.5285929770e+01    9.1895337630e+00   -2.2509814942e+02    8.0000000000e+00    2.9097497463e-03    5.5166666667e-01
         7   -7.6373161296e+01    5.8356575591e+03   -1.7695637144e+02    1.0058321014e+02    3.6298110791e+01    9.1895337630e+00   -2.2244401599e+02    8.0000000000e+00    2.8069615364e-03    5.3750000000e-01
         8   -7.6093263818e+01    5.7910964231e+03   -1.7442264629e+02    9.8329382468e+01    3.8044158347e+01    9.1895337630e+00   -2.2165633840e+02    8.0000000000e+00    3.5437047482e-03    5.3875000000e-01
         9   -7.7509456281e+01    6.0096848794e+03   -1.7052745654e+02    9.3018000257e+01    3.4133966795e+01    9.1895337630e+00   -2.1385095710e+02    8.0000000000e+00    2.8636157513e-03    5.4625000000e-01
        10   -7.6742791064e+01    5.8901478618e+03   -1.6862534793e+02    9.1882556861e+01    3.4933926615e+01    9.1895337630e+00   -2.1274880830e+02    8.0000000000e+00    2.9251575470e-03    5.5666666667e-01
        11   -7.7106539637e+01    5.9462160454e+03   -1.5066778211e+02    7.3561242472e+01    3.6620619472e+01    9.1895337630e+00   -1.9647793534e+02    8.0000000000e+00    2.8301179409e-03    5.4666666667e-01
        12   -7.6760474037e+01    5.8959452085e+03   -1.3567622969e+02    5.8915755656e+01    3.6751502092e+01    9.1895337630e+00   -1.8161726555e+02    8.0000000000e+00    2.8834342957e-03    5.4000000000e-01
        13   -7.6449965300e+01    5.8465311194e+03   -1.2682511840e+02    5.0375153099e+01    3.6717667972e+01    9.1895337630e+00   -1.7273232013e+02    8.0000000000e+00    2.9034614563e-03    5.2500000000e-01
        14   -7.6258024911e+01    5.8173969089e+03   -1.5077788603e+02    7.4519861120e+01    4.0223339410e+01    9.1895337630e+00   -2.0019075920e+02    8.0000000000e+00    3.0678510666e-03    5.5875000000e-01
        15   -7.6226784111e+01    5.8117277892e+03   -1.2588970544e+02    4.9662921331e+01    3.4118408495e+01    9.1895337630e+00   -1.6919764770e+02    8.0000000000e+00    2.8758347034e-03    5.3250000000e-01
        16   -7.6565667160e+01    5.8633759662e+03   -1.5521016796e+02    7.8644500801e+01    3.4199551048e+01    9.1895337630e+00   -1.9859925277e+02    8.0000000000e+00    2.9152333736e-03    5.5416666667e-01
        17   -7.6388458502e+01    5.8356360825e+03   -1.3679510060e+02    6.0406642100e+01    3.9247032720e+01    9.1895337630e+00   -1.8523166709e+02    8.0000000000e+00    2.7859807014e-03    5.3208333333e-01
        18   -7.6964186441e+01    5.9238031338e+03   -1.7731709739e+02    1.0035291095e+02    3.9302544671e+01    9.1895337630e+00   -2.2580917582e+02    8.0000000000e+00    2.8462111950e-03    5.4041666667e-01
        19   -7.5920957055e+01    5.7658380387e+03   -1.4902237260e+02    7.3101415550e+01    3.6415435302e+01    9.1895337630e+00   -1.9462734167e+02    8.0000000000e+00    2.9152333736e-03    5.3250000000e-01
        20   -7.5874340330e+01    5.7578781328e+03   -1.6730223090e+02    9.1427890575e+01    3.3383107720e+01    9.1895337630e+00   -2.0987487239e+02    8.0000000000e+00    2.9410719872e-03    5.4458333333e-01
        21   -7.6553886036e+01    5.8606572208e+03   -1.1892650498e+02    4.2372618940e+01    3.4135213655e+01    9.1895337630e+00   -1.6225125239e+02    8.0000000000e+00    2.8807520866e-03    5.4416666667e-01
        22   -7.6256105206e+01    5.8162277881e+03   -1.6057379890e+02    8.4317693694e+01    3.7661213037e+01    9.1895337630e+00   -2.0742454570e+02    8.0000000000e+00    2.9176175594e-03    5.3500000000e-01
        23   -7.7153703274e+01    5.9544930701e+03   -1.9607347623e+02    1.1891977296e+02    4.0097306258e+01    9.1895337630e+00   -2.4536031625e+02    8.0000000000e+00    2.8426647186e-03    5.3291666667e-01
        24   -7.6108900077e+01    5.7945164687e+03   -2.1572490982e+02    1.3961600974e+02    4.1996890628e+01    9.1895337630e+00   -2.6691133421e+02    8.0000000000e+00    2.8314888477e-03    5.2208333333e-01
        25   -7.5797680282e+01    5.7460997290e+03   -2.1743627632e+02    1.4163859604e+02    3.7430635493e+01    9.1895337630e+00   -2.6405644558e+02    8.0000000000e+00    2.8711259365e-03    5.4375000000e-01
        26   -7.4728534472e+01    5.5878430099e+03   -1.7111461870e+02    9.6386084229e+01    3.6910072723e+01    9.1895337630e+00   -2.1721422519e+02    8.0000000000e+00    2.9207170010e-03    5.4208333333e-01
        27   -7.5982794181e+01    5.7743132069e+03   -1.9138222561e+02    1.1539943143e+02    3.5905943137e+01    9.1895337630e+00   -2.3647770251e+02    8.0000000000e+00    2.9021501541e-03    5.3541666667e-01
        28   -7.7051775281e+01    5.9372282372e+03   -1.9567804893e+02    1.1862627365e+02    3.8937300198e+01    9.1895337630e+00   -2.4380488289e+02    8.0000000000e+00    2.9460787773e-03    5.4708333333e-01
        29   -7.5982971502e+01    5.7741005080e+03   -1.7480521944e+02    9.8822247938e+01    4.0578738985e+01    9.1895337630e+00   -2.2457349219e+02    8.0000000000e+00    2.9769241810e-03    5.4458333333e-01
        30   -7.6547594768e+01    5.8601015274e+03   -1.4719731913e+02    7.0649724361e+01    3.5028805470e+01    9.1895337630e+00   -1.9141565836e+02    8.0000000000e+00    2.9225945473e-03    5.4250000000e-01
        31   -7.6343073438e+01    5.8291474954e+03   -1.7160106669e+02    9.5257993255e+01    3.6443713739e+01    9.1895337630e+00   -2.1723431420e+02    8.0000000000e+00    2.8626918793e-03    5.3416666667e-01
        32   -7.5619786765e+01    5.7188190781e+03   -1.7199970510e+02    9.6379918340e+01    3.8892275279e+01    9.1895337630e+00   -2.2008151415e+02    8.0000000000e+00    3.0523836613e-03    5.3791666667e-01
        33   -7.6608596729e+01    5.8696312136e+03   -1.4102706884e+02    6.4418472113e+01    3.5410360595e+01    9.1895337630e+00   -1.8562696320e+02    8.0000000000e+00    2.8470456600e-03    5.2625000000e-01
        34   -7.5429616204e+01    5.6908825560e+03   -1.4079124619e+02    6.5361629986e+01    3.6760044385e+01    9.1895337630e+00   -1.8674082434e+02    8.0000000000e+00    2.8615891933e-03    5.3916666667e-01
