#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.6466949494e+01    5.8496132804e+03   -1.3907071717e+02    6.2603767677e+01    3.7140713812e+01    9.1895337630e+00   -1.8540096475e+02    2.0000000000e+03    9.0530216694e-02    3.1129000000e-01
         1   -7.6399991617e+01    5.8389708944e+03   -1.3444630592e+02    5.8046314298e+01    3.7756930450e+01    9.1895337630e+00   -1.8139277013e+02    2.0000000000e+03    9.1224581003e-02    3.1128000000e-01
         2   -7.6437517428e+01    5.8449870644e+03   -1.4038135781e+02    6.3943840386e+01    3.6596563925e+01    9.1895337630e+00   -1.8616745550e+02    2.0000000000e+03    9.3691051006e-02    3.1267000000e-01
         3   -7.6396569259e+01    5.8385472270e+03   -1.5069108219e+02    7.4294512931e+01    3.7375396185e+01    9.1895337630e+00   -1.9725601214e+02    2.0000000000e+03    9.1578364372e-02    3.1164000000e-01
         4   -7.6388581352e+01    5.8368174491e+03   -1.2907348037e+02    5.2684899019e+01    3.6462217745e+01    9.1895337630e+00   -1.7472523188e+02    2.0000000000e+03    9.6645742655e-02    3.1237000000e-01
         5   -7.6363712292e+01    5.8349064516e+03   -1.4645854421e+02    7.0094831920e+01    3.6589761360e+01    9.1895337630e+00   -1.9223783934e+02    2.0000000000e+03    9.5985144377e-02    3.1308000000e-01
         6   -7.6366650052e+01    5.8347897134e+03   -1.6660042493e+02    9.0233774877e+01    3.7122195986e+01    9.1895337630e+00   -2.1291215468e+02    2.0000000000e+03    9.5533698797e-02    3.1039000000e-01
         7   -7.6478364913e+01    5.8507440764e+03   -1.2944414656e+02    5.2965781645e+01    3.7239644944e+01    9.1895337630e+00   -1.7587332526e+02    2.0000000000e+03    9.3487858772e-02    3.1154000000e-01
         8   -7.6362559081e+01    5.8333862000e+03   -1.5828787858e+02    8.1925319501e+01    3.7499044046e+01    9.1895337630e+00   -2.0497645639e+02    2.0000000000e+03    9.3421787024e-02    3.0728000000e-01
         9   -7.6377037631e+01    5.8349641386e+03   -1.3299388668e+02    5.6616849045e+01    3.7774153662e+01    9.1895337630e+00   -1.7995757410e+02    2.0000000000e+03    9.3546718359e-02    3.0796000000e-01
        10   -7.6363732814e+01    5.8336849759e+03   -1.6096519209e+02    8.4601459278e+01    3.7373772436e+01    9.1895337630e+00   -2.0752849829e+02    2.0000000000e+03    9.3343734741e-02    3.1339000000e-01
        11   -7.6396887151e+01    5.8382654038e+03   -1.4221356684e+02    6.5816679685e+01    3.6745585623e+01    9.1895337630e+00   -1.8814868622e+02    2.0000000000e+03    9.5410972834e-02    3.1106000000e-01
        12   -7.6403302683e+01    5.8391582332e+03   -1.4144307684e+02    6.5039774153e+01    3.6846473467e+01    9.1895337630e+00   -1.8747908407e+02    2.0000000000e+03    9.4217807055e-02    3.1432000000e-01
        13   -7.6442848825e+01    5.8452652764e+03   -1.2900911158e+02    5.2566262756e+01    3.7075401864e+01    9.1895337630e+00   -1.7527404721e+02    2.0000000000e+03    9.3293875456e-02    3.1229000000e-01
        14   -7.6276717996e+01    5.8196098777e+03   -1.3217749214e+02    5.5900774140e+01    3.6570819967e+01    9.1895337630e+00   -1.7793784587e+02    2.0000000000e+03    9.5136225224e-02    3.1218000000e-01
        15   -7.6479094071e+01    5.8521531631e+03   -1.6584526755e+02    8.9366173483e+01    3.7844468704e+01    9.1895337630e+00   -2.1287927002e+02    2.0000000000e+03    9.3245416880e-02    3.0672000000e-01
