# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.7221356815e+01    8.2568254712e-02    1.6001000000e+04    1.6000000000e+04    0.0000000000e+00   -1.7226292209e+01    9.9933819371e-01    9.9993750000e-01
         1   -1.7219208935e+01    9.4117239449e-02    1.5998943877e+04    1.6000000000e+04    0.0000000000e+00   -1.7283854862e+01    9.9938552296e-01    9.9975000000e-01
         2   -1.7216718465e+01    1.0342552146e-01    1.5999978878e+04    1.5998000000e+04    0.0000000000e+00   -1.7094201122e+01    9.9959302395e-01    1.0000000000e+00
         3   -1.7216101148e+01    1.0701665438e-01    1.5999995527e+04    1.6001000000e+04    0.0000000000e+00   -1.7279216512e+01    9.9917534477e-01    9.9993750391e-01
         4   -1.7213682456e+01    1.2581744551e-01    1.5999980668e+04    1.6001000000e+04    0.0000000000e+00   -1.7278599195e+01    9.9945633746e-01    9.9981251172e-01
         5   -1.7210570775e+01    1.3429078476e-01    1.5999975174e+04    1.5999000000e+04    0.0000000000e+00   -1.7151180503e+01    9.9956970259e-01    9.9987499219e-01
         6   -1.7209216113e+01    1.3704955356e-01    1.5999989180e+04    1.6000000000e+04    0.0000000000e+00   -1.7210570775e+01    9.9954739321e-01    9.9981250000e-01
         7   -1.7211629862e+01    1.5867843012e-01    1.6000018525e+04    1.5999000000e+04    0.0000000000e+00   -1.7146714160e+01    9.9931661889e-01    9.9987499219e-01
         8   -1.7210909472e+01    1.3704152505e-01    1.5999993440e+04    1.5999000000e+04    0.0000000000e+00   -1.7149127909e+01    9.9947893294e-01    9.9987499219e-01
         9   -1.7209955435e+01    1.4848053203e-01    1.5999992441e+04    1.6000000000e+04    0.0000000000e+00   -1.7210909472e+01    9.9928758498e-01    9.9987500000e-01
        10   -1.7212617390e+01    1.4237520336e-01    1.6000020728e+04    1.6000000000e+04    0.0000000000e+00   -1.7209955435e+01    9.9942004122e-01    1.0000000000e+00
        11   -1.7214227420e+01    1.4777368336e-01    1.6000012636e+04    1.6001000000e+04    0.0000000000e+00   -1.7275115437e+01    9.9952986842e-01    9.9968751953e-01
        12   -1.7213171215e+01    1.5806676382e-01    1.5999989773e+04    1.5997000000e+04    0.0000000000e+00   -1.7026709840e+01    9.9964364611e-01    1.0000000000e+00
        13   -1.7213123626e+01    1.5876310316e-01    1.5999999746e+04    1.6001000000e+04    0.0000000000e+00   -1.7275669262e+01    9.9946818223e-01    9.9987500781e-01
        14   -1.7213726945e+01    1.5911791681e-01    1.6000004030e+04    1.6000000000e+04    0.0000000000e+00   -1.7213123626e+01    9.9949050670e-01    9.9956250000e-01
        15   -1.7214986984e+01    1.6408685800e-01    1.6000007215e+04    1.5995000000e+04    0.0000000000e+00   -1.6901178107e+01    9.9956039677e-01    1.0000000000e+00
        16   -1.7215170805e+01    1.7026894505e-01    1.6000002692e+04    1.6002000000e+04    0.0000000000e+00   -1.7339979172e+01    9.9943910211e-01    9.9981252343e-01
        17   -1.7216025457e+01    1.7522681456e-01    1.6000006163e+04    1.5999000000e+04    0.0000000000e+00   -1.7152668852e+01    9.9951814063e-01    9.9981248828e-01
        18   -1.7217102472e+01    1.8922340677e-01    1.6000012695e+04    1.6002000000e+04    0.0000000000e+00   -1.7341017645e+01    9.9965423912e-01    9.9981252343e-01
        19   -1.7219245684e+01    2.1792044376e-01    1.6000017837e+04    1.6002000000e+04    0.0000000000e+00   -1.7342094660e+01    9.9950334996e-01    9.9987501562e-01
        20   -1.7222314543e+01    2.0011076598e-01    1.6000026282e+04    1.6003000000e+04    0.0000000000e+00   -1.7406728108e+01    9.9967653782e-01    9.9975004687e-01
        21   -1.7224323105e+01    1.9299990807e-01    1.6000014660e+04    1.5999000000e+04    0.0000000000e+00   -1.7159812590e+01    9.9962953894e-01    1.0000000000e+00
        22   -1.7226342042e+01    2.4723372683e-01    1.6000016702e+04    1.6003000000e+04    0.0000000000e+00   -1.7411805529e+01    9.9948289080e-01    9.9962507030e-01
        23   -1.7225535987e+01    2.0551965892e-01    1.5999995426e+04    1.5999000000e+04    0.0000000000e+00   -1.7163840089e+01    9.9945718726e-01    1.0000000000e+00
        24   -1.7227262446e+01    2.1381972629e-01    1.6000016378e+04    1.6003000000e+04    0.0000000000e+00   -1.7413018411e+01    9.9943856139e-01    9.9962507030e-01
        25   -1.7228266869e+01    2.1507291697e-01    1.6000007563e+04    1.5999000000e+04    0.0000000000e+00   -1.7164760493e+01    9.9936890998e-01    9.9987499219e-01
        26   -1.7228381767e+01    2.2516693649e-01    1.6000002318e+04    1.6002000000e+04    0.0000000000e+00   -1.7353259058e+01    9.9935487835e-01    1.0000000000e+00
        27   -1.7231040798e+01    2.3116820106e-01    1.6000021378e+04    1.6003000000e+04    0.0000000000e+00   -1.7415864191e+01    9.9929044050e-01    9.9962507030e-01
        28   -1.7233096228e+01    2.4891036625e-01    1.6000017078e+04    1.6000000000e+04    0.0000000000e+00   -1.7231040798e+01    9.9933082215e-01    9.9981250000e-01
        29   -1.7231454955e+01    2.4517078884e-01    1.5999987305e+04    1.5999000000e+04    0.0000000000e+00   -1.7170594274e+01    9.9944844527e-01    9.9981248828e-01
        30   -1.7231376928e+01    2.7784103547e-01    1.5999998543e+04    1.5999000000e+04    0.0000000000e+00   -1.7168953002e+01    9.9946034350e-01    9.9962497656e-01
        31   -1.7235646318e+01    2.5054522684e-01    1.6000033638e+04    1.5998000000e+04    0.0000000000e+00   -1.7106369115e+01    9.9950464708e-01    9.9993749219e-01
        32   -1.7233063786e+01    2.6622735680e-01    1.5999981039e+04    1.6004000000e+04    0.0000000000e+00   -1.7485615074e+01    9.9937231882e-01    9.9937515621e-01
        33   -1.7236775040e+01    2.7133315180e-01    1.6000031142e+04    1.5997000000e+04    0.0000000000e+00   -1.7045546206e+01    9.9947437001e-01    9.9981246484e-01
        34   -1.7243970549e+01    3.3323576530e-01    1.6000054968e+04    1.5997000000e+04    0.0000000000e+00   -1.7049257460e+01    9.9939669818e-01    9.9987497656e-01
        35   -1.7244099511e+01    2.6527158511e-01    1.6000001936e+04    1.6001000000e+04    0.0000000000e+00   -1.7306468596e+01    9.9940705375e-01    9.9993750391e-01
        36   -1.7241975154e+01    2.7024995639e-01    1.5999981160e+04    1.6000000000e+04    0.0000000000e+00   -1.7244099511e+01    9.9938173883e-01    9.9981250000e-01
        37   -1.7245287640e+01    2.6710896780e-01    1.6000026687e+04    1.5999000000e+04    0.0000000000e+00   -1.7179473201e+01    9.9944543021e-01    9.9981248828e-01
        38   -1.7245608033e+01    2.7230666626e-01    1.6000004417e+04    1.6002000000e+04    0.0000000000e+00   -1.7370279828e+01    9.9944386666e-01    9.9975003125e-01
        39   -1.7247081931e+01    3.0365304103e-01    1.6000010727e+04    1.5998000000e+04    0.0000000000e+00   -1.7120600220e+01    9.9946200869e-01    9.9993749219e-01
        40   -1.7246070949e+01    3.3473270651e-01    1.5999990631e+04    1.6000000000e+04    0.0000000000e+00   -1.7247081931e+01    9.9942059662e-01    9.9981250000e-01
        41   -1.7244530135e+01    3.1001686317e-01    1.5999986599e+04    1.6000000000e+04    0.0000000000e+00   -1.7246070949e+01    9.9950356324e-01    9.9987500000e-01
        42   -1.7243313974e+01    3.0423480482e-01    1.5999991392e+04    1.6002000000e+04    0.0000000000e+00   -1.7369522323e+01    9.9937628220e-01    9.9968753906e-01
        43   -1.7246622935e+01    3.2247153126e-01    1.6000027286e+04    1.6000000000e+04    0.0000000000e+00   -1.7243313974e+01    9.9950184171e-01    9.9987500000e-01
        44   -1.7247747134e+01    3.1597403020e-01    1.6000012453e+04    1.6002000000e+04    0.0000000000e+00   -1.7371615123e+01    9.9951479470e-01    9.9975003125e-01
        45   -1.7248063397e+01    3.0355433441e-01    1.6000000158e+04    1.5998000000e+04    0.0000000000e+00   -1.7122739321e+01    9.9945996697e-01    9.9993749219e-01
        46   -1.7245991874e+01    3.1454452566e-01    1.5999983380e+04    1.6002000000e+04    0.0000000000e+00   -1.7373055585e+01    9.9936695715e-01    9.9968753906e-01
        47   -1.7246869486e+01    3.1000264035e-01    1.6000008570e+04    1.5998000000e+04    0.0000000000e+00   -1.7120984061e+01    9.9917397539e-01    9.9974996875e-01
        48   -1.7246752445e+01    3.0404858929e-01    1.5999998422e+04    1.5997000000e+04    0.0000000000e+00   -1.7059351906e+01    9.9931807037e-01    9.9993748828e-01
        49   -1.7245251370e+01    3.0449778346e-01    1.5999987092e+04    1.6000000000e+04    0.0000000000e+00   -1.7246752445e+01    9.9939862255e-01    1.0000000000e+00
        50   -1.7247327362e+01    3.3426489431e-01    1.6000016413e+04    1.6002000000e+04    0.0000000000e+00   -1.7370243558e+01    9.9941596373e-01    9.9943757030e-01
        51   -1.7249580832e+01    2.9233217200e-01    1.6000020772e+04    1.5996000000e+04    0.0000000000e+00   -1.6997296107e+01    9.9939702124e-01    1.0000000000e+00
        52   -1.7249611388e+01    3.0493610014e-01    1.5999997987e+04    1.5999000000e+04    0.0000000000e+00   -1.7187078879e+01    9.9931116871e-01    9.9981248828e-01
        53   -1.7248903436e+01    3.1730013746e-01    1.5999992229e+04    1.5998000000e+04    0.0000000000e+00   -1.7124603574e+01    9.9949294574e-01    9.9981247656e-01
        54   -1.7247187261e+01    3.3612601356e-01    1.5999986797e+04    1.5996000000e+04    0.0000000000e+00   -1.6998872181e+01    9.9940209125e-01    9.9987496874e-01
