#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7224046376e+01    2.9705195956e+02   -3.0968195749e+01    1.3744149374e+01    1.7111015739e+01    6.9795078914e+00   -5.7057084171e+01    1.9983647917e+00    2.6720000000e+03    1.3619568944e-01    3.7703967066e-01
         1   -1.7259832671e+01    2.9828122257e+02   -3.0907941435e+01    1.3648108764e+01    1.7037312833e+01    6.9795078914e+00   -5.6713840449e+01    1.7890782893e+00    2.6720000000e+03    1.3695466518e-01    3.7991205090e-01
         2   -1.7238118364e+01    2.9755584323e+02   -3.0833451278e+01    1.3595332913e+01    1.7178470241e+01    6.9795078914e+00   -5.6809530705e+01    1.8181012944e+00    2.6720000000e+03    1.3451603055e-01    3.7948166168e-01
         3   -1.7251523207e+01    2.9806310988e+02   -3.0589819730e+01    1.3338296523e+01    1.6955287522e+01    6.9795078914e+00   -5.6361629745e+01    1.8370146012e+00    2.6720000000e+03    1.3555261493e-01    3.8383233533e-01
         4   -1.7245603605e+01    2.9785303747e+02   -3.0912238903e+01    1.3666635298e+01    1.7261694746e+01    6.9795078914e+00   -5.7064236160e+01    1.9107946192e+00    2.6720000000e+03    1.3882637024e-01    3.8033308383e-01
         5   -1.7228423195e+01    2.9720900179e+02   -3.0793110384e+01    1.3564687188e+01    1.7102553136e+01    6.9795078914e+00   -5.6732951238e+01    1.8577798270e+00    2.6720000000e+03    1.3341557980e-01    3.7986526946e-01
         6   -1.7238215314e+01    2.9761614274e+02   -3.0935303516e+01    1.3697088202e+01    1.7228886962e+01    6.9795078914e+00   -5.6870941160e+01    1.7272427900e+00    2.6720000000e+03    1.3732793927e-01    3.7745134731e-01
         7   -1.7235662603e+01    2.9751791649e+02   -3.1011013082e+01    1.3775350479e+01    1.7126050351e+01    6.9795078914e+00   -5.7052242432e+01    1.9356711078e+00    2.6720000000e+03    1.3519555330e-01    3.8260666168e-01
         8   -1.7249287980e+01    2.9790873960e+02   -3.1007968238e+01    1.3758680258e+01    1.7188190326e+01    6.9795078914e+00   -5.7029172073e+01    1.8535056168e+00    2.6720000000e+03    1.3661295176e-01    3.7866766467e-01
         9   -1.7226318782e+01    2.9712107615e+02   -3.0701833429e+01    1.3475514647e+01    1.7120573932e+01    6.9795078914e+00   -5.6639323746e+01    1.8374084929e+00    2.6720000000e+03    1.3421815634e-01    3.7966878743e-01
        10   -1.7204638851e+01    2.9639400565e+02   -3.0872878561e+01    1.3668239711e+01    1.6985728238e+01    6.9795078914e+00   -5.6627163581e+01    1.7890488901e+00    2.6720000000e+03    1.3330972195e-01    3.8559131737e-01
        11   -1.7243880687e+01    2.9769087855e+02   -3.0778907393e+01    1.3535026706e+01    1.7155658006e+01    6.9795078914e+00   -5.6806448072e+01    1.8923747815e+00    2.6720000000e+03    1.3950225711e-01    3.7938809880e-01
        12   -1.7234960894e+01    2.9751286103e+02   -3.0698261256e+01    1.3463300362e+01    1.7109191928e+01    6.9795078914e+00   -5.6698996098e+01    1.9120350219e+00    2.6720000000e+03    1.3896480203e-01    3.8219498503e-01
        13   -1.7263833332e+01    2.9847992906e+02   -3.0874941671e+01    1.3611108340e+01    1.7161565677e+01    6.9795078914e+00   -5.6937408064e+01    1.9213928246e+00    2.6720000000e+03    1.4075425267e-01    3.7924775449e-01
        14   -1.7236837106e+01    2.9752973205e+02   -3.0667941989e+01    1.3431104883e+01    1.7045800729e+01    6.9795078914e+00   -5.6566253815e+01    1.8730032059e+00    2.6720000000e+03    1.3469272852e-01    3.7860217066e-01
        15   -1.7251413498e+01    2.9799936121e+02   -3.0596006255e+01    1.3344592757e+01    1.7120313855e+01    6.9795078914e+00   -5.6516248524e+01    1.8204205229e+00    2.6720000000e+03    1.4092263579e-01    3.8097866766e-01
        16   -1.7208554228e+01    2.9652030632e+02   -3.0666279845e+01    1.3457725617e+01    1.7158606085e+01    6.9795078914e+00   -5.6728769957e+01    1.9243761355e+00    2.6720000000e+03    1.3802510500e-01    3.8043600299e-01
        17   -1.7240827853e+01    2.9770797893e+02   -3.0948248702e+01    1.3707420849e+01    1.7153014239e+01    6.9795078914e+00   -5.6845560616e+01    1.7647897838e+00    2.6720000000e+03    1.3600689173e-01    3.7718001497e-01
        18   -1.7227501627e+01    2.9717164917e+02   -3.1137815264e+01    1.3910313637e+01    1.7139036986e+01    6.9795078914e+00   -5.7041557803e+01    1.7851976616e+00    2.6720000000e+03    1.3674300909e-01    3.7526197605e-01
        19   -1.7243019825e+01    2.9771527996e+02   -3.0987918686e+01    1.3744898861e+01    1.7109553606e+01    6.9795078914e+00   -5.7053766231e+01    1.9767860477e+00    2.6720000000e+03    1.3586416841e-01    3.7995883234e-01
        20   -1.7233474102e+01    2.9741311888e+02   -3.1392953844e+01    1.4159479742e+01    1.7241755362e+01    6.9795078914e+00   -5.7418151544e+01    1.8039344462e+00    2.6720000000e+03    1.3708958030e-01    3.7674962575e-01
        21   -1.7250581042e+01    2.9799561066e+02   -3.0938193705e+01    1.3687612663e+01    1.7091088238e+01    6.9795078914e+00   -5.7000858675e+01    1.9920688405e+00    2.6720000000e+03    1.3529449701e-01    3.7873315868e-01
        22   -1.7247044290e+01    2.9795716131e+02   -3.0738414606e+01    1.3491370315e+01    1.7224939217e+01    6.9795078914e+00   -5.6945872541e+01    2.0030108264e+00    2.6720000000e+03    1.4126980305e-01    3.7969685629e-01
        23   -1.7248336443e+01    2.9797732834e+02   -3.0746342421e+01    1.3498005979e+01    1.7095082782e+01    6.9795078914e+00   -5.6555566087e+01    1.7346329927e+00    2.6720000000e+03    1.3889071345e-01    3.8223241018e-01
        24   -1.7266705525e+01    2.9863404968e+02   -3.1103599184e+01    1.3836893659e+01    1.7124374921e+01    6.9795078914e+00   -5.7262485912e+01    2.0550039158e+00    2.6720000000e+03    1.3719305396e-01    3.8038922156e-01
        25   -1.7251363215e+01    2.9807959315e+02   -3.0890116978e+01    1.3638753763e+01    1.7230053459e+01    6.9795078914e+00   -5.7033459593e+01    1.9337812644e+00    2.6720000000e+03    1.3870435953e-01    3.7810628743e-01
        26   -1.7241253432e+01    2.9761954261e+02   -3.0810627097e+01    1.3569373665e+01    1.7047214886e+01    6.9795078914e+00   -5.6666574834e+01    1.8292249592e+00    2.6720000000e+03    1.3368350267e-01    3.8468375749e-01
        27   -1.7264880991e+01    2.9859849300e+02   -3.0615657065e+01    1.3350776074e+01    1.6905458510e+01    6.9795078914e+00   -5.6487362291e+01    1.9867388248e+00    2.6720000000e+03    1.4095839858e-01    3.7978106287e-01
        28   -1.7227677447e+01    2.9714050280e+02   -3.0841421518e+01    1.3613744070e+01    1.7160242529e+01    6.9795078914e+00   -5.6879946687e+01    1.8987747489e+00    2.6720000000e+03    1.3846269250e-01    3.8020209581e-01
        29   -1.7237146791e+01    2.9750966604e+02   -3.0808085967e+01    1.3570939176e+01    1.7029712240e+01    6.9795078914e+00   -5.6846246737e+01    2.0289406379e+00    2.6720000000e+03    1.3608431816e-01    3.7848053892e-01
        30   -1.7230080266e+01    2.9724117212e+02   -3.0816201786e+01    1.3586121520e+01    1.6971677883e+01    6.9795078914e+00   -5.6627815978e+01    1.8604284171e+00    2.6720000000e+03    1.3354784250e-01    3.8270022455e-01
        31   -1.7199342475e+01    2.9648944899e+02   -3.0531066239e+01    1.3331723764e+01    1.7002213558e+01    6.9795078914e+00   -5.6190777922e+01    1.6779902330e+00    2.6720000000e+03    1.3359332085e-01    3.8519835329e-01
        32   -1.7232448777e+01    2.9726493522e+02   -3.1094016346e+01    1.3861567569e+01    1.7177431092e+01    6.9795078914e+00   -5.7151891071e+01    1.9009357420e+00    2.6720000000e+03    1.3838145137e-01    3.7669348802e-01
        33   -1.7252785033e+01    2.9810576254e+02   -3.0620239031e+01    1.3367453997e+01    1.7069158333e+01    6.9795078914e+00   -5.6544054094e+01    1.8751488389e+00    2.6720000000e+03    1.3282832503e-01    3.8108158683e-01
        34   -1.7253490180e+01    2.9814437719e+02   -3.0759795963e+01    1.3506305783e+01    1.7165083838e+01    6.9795078914e+00   -5.6895336048e+01    1.9909483552e+00    2.6720000000e+03    1.3738563657e-01    3.8164296407e-01
