#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7319336783e+01    3.0079793833e+02   -3.2253186757e+01    1.4933849974e+01    1.7082369996e+01    6.9795078914e+00   -5.6744865380e+01    4.2980073607e-01    4.7999000000e+05    1.6367238998e+01    9.9971718102e-01
         1   -1.7270944584e+01    2.9912735326e+02   -3.1994853569e+01    1.4723908986e+01    1.7086899054e+01    6.9795078914e+00   -5.6487053072e+01    4.2579255682e-01    4.8003000000e+05    1.6303415060e+01    9.9967033516e-01
         2   -1.7233469453e+01    2.9760964303e+02   -3.1531257670e+01    1.4297788216e+01    1.7070030517e+01    6.9795078914e+00   -5.6284040017e+01    7.0324393850e-01    4.8001200000e+05    1.5926568031e+01    9.9967474433e-01
         3   -1.7227577889e+01    2.9733460937e+02   -3.1288008151e+01    1.4060430262e+01    1.7077829108e+01    6.9795078914e+00   -5.6117529865e+01    7.7218471360e-01    4.8004900000e+05    1.5600675106e+01    9.9967138771e-01
         4   -1.7219596613e+01    2.9701735450e+02   -3.1051644205e+01    1.3832047592e+01    1.7090994408e+01    6.9795078914e+00   -5.6006333096e+01    8.8418659167e-01    4.8027100000e+05    1.5433824062e+01    9.9967101222e-01
         5   -1.7206861112e+01    2.9652876097e+02   -3.0935350339e+01    1.3728489227e+01    1.7103760888e+01    6.9795078914e+00   -5.5974004967e+01    9.5538584846e-01    4.8064000000e+05    1.5351551056e+01    9.9966787760e-01
         6   -1.7212705805e+01    2.9675175957e+02   -3.0919177996e+01    1.3706472191e+01    1.7115217083e+01    6.9795078915e+00   -5.5985973817e+01    9.7207084718e-01    4.8120500000e+05    1.5332242012e+01    9.9966983514e-01
         7   -1.7216572627e+01    2.9685257462e+02   -3.0806315661e+01    1.3589743034e+01    1.7132157034e+01    6.9795078914e+00   -5.5915795239e+01    9.9781465246e-01    4.8177900000e+05    1.5113584042e+01    9.9967358385e-01
         8   -1.7207480401e+01    2.9649257709e+02   -3.0722596471e+01    1.3515116070e+01    1.7153607095e+01    6.9795078914e+00   -5.5894542000e+01    1.0388305424e+00    4.8153500000e+05    1.4954521894e+01    9.9968358505e-01
         9   -1.7204182639e+01    2.9636631042e+02   -3.0741295358e+01    1.3537112719e+01    1.7172987152e+01    6.9795078914e+00   -5.5927979802e+01    1.0341894008e+00    4.8084300000e+05    1.5309157848e+01    9.9968936059e-01
        10   -1.7211635328e+01    2.9671084496e+02   -3.0775466729e+01    1.3563831401e+01    1.7166314892e+01    6.9795078914e+00   -5.6001643842e+01    1.0803543293e+00    4.8042200000e+05    1.5299911022e+01    9.9967450559e-01
        11   -1.7212544917e+01    2.9665889074e+02   -3.0810577529e+01    1.3598032612e+01    1.7175952357e+01    6.9795078914e+00   -5.6017651877e+01    1.0516140996e+00    4.8044900000e+05    1.5264441013e+01    9.9969950422e-01
        12   -1.7212343226e+01    2.9666430794e+02   -3.0846813311e+01    1.3634470085e+01    1.7208056067e+01    6.9795078914e+00   -5.6110688138e+01    1.0763108679e+00    4.8026000000e+05    1.5087489843e+01    9.9968142323e-01
        13   -1.7218734581e+01    2.9694014155e+02   -3.0902448477e+01    1.3683713897e+01    1.7223320420e+01    6.9795078915e+00   -5.6171525440e+01    1.0662486512e+00    4.8062200000e+05    1.5160301924e+01    9.9967645149e-01
        14   -1.7221687909e+01    2.9698454540e+02   -3.0942181332e+01    1.3720493423e+01    1.7232504130e+01    6.9795078914e+00   -5.6220109076e+01    1.0659157223e+00    4.8044800000e+05    1.4835242987e+01    9.9969274557e-01
        15   -1.7214315173e+01    2.9670563480e+02   -3.0870358151e+01    1.3656042978e+01    1.7251097467e+01    6.9795078914e+00   -5.6219774053e+01    1.1188105442e+00    4.8004500000e+05    1.4731880903e+01    9.9969352279e-01
        16   -1.7218631240e+01    2.9687133159e+02   -3.0850296223e+01    1.3631664983e+01    1.7265928493e+01    6.9795078914e+00   -5.6173892401e+01    1.0781597932e+00    4.7992600000e+05    1.4776154995e+01    9.9968615149e-01
        17   -1.7220219367e+01    2.9694121434e+02   -3.0900840175e+01    1.3680620807e+01    1.7269214587e+01    6.9795078914e+00   -5.6230928068e+01    1.0813654150e+00    4.7955200000e+05    1.4758327961e+01    9.9966636222e-01
        18   -1.7226364087e+01    2.9719927322e+02   -3.0912078411e+01    1.3685714324e+01    1.7276669074e+01    6.9795078914e+00   -5.6299404707e+01    1.1311493308e+00    4.7950300000e+05    1.4701096058e+01    9.9969551108e-01
        19   -1.7226356653e+01    2.9714385225e+02   -3.0913004531e+01    1.3686647878e+01    1.7266023112e+01    6.9795078915e+00   -5.6293212375e+01    1.1346768413e+00    4.8022800000e+05    1.4755626917e+01    9.9967800613e-01
        20   -1.7226143286e+01    2.9715193362e+02   -3.0971478503e+01    1.3745335217e+01    1.7268653473e+01    6.9795078915e+00   -5.6348508929e+01    1.1288690619e+00    4.8077700000e+05    1.4931056976e+01    9.9966537845e-01
        21   -1.7229199553e+01    2.9724353310e+02   -3.1017474517e+01    1.3788274963e+01    1.7267324540e+01    6.9795078914e+00   -5.6376306789e+01    1.1119998407e+00    4.8075700000e+05    1.4901054859e+01    9.9968252796e-01
        22   -1.7231875090e+01    2.9733177661e+02   -3.1013835175e+01    1.3781960084e+01    1.7253035326e+01    6.9795078914e+00   -5.6371299117e+01    1.1249207253e+00    4.8051000000e+05    1.4795693159e+01    9.9965324313e-01
        23   -1.7232086862e+01    2.9733390799e+02   -3.1003683162e+01    1.3771596300e+01    1.7250976058e+01    6.9795078914e+00   -5.6345653655e+01    1.1114865429e+00    4.8066800000e+05    1.4821089029e+01    9.9967960187e-01
        24   -1.7233653220e+01    2.9740357566e+02   -3.1026082448e+01    1.3792429229e+01    1.7272370179e+01    6.9795078914e+00   -5.6366866672e+01    1.0889061531e+00    4.8130300000e+05    1.4764053106e+01    9.9967326848e-01
        25   -1.7236038785e+01    2.9747647069e+02   -3.1039869733e+01    1.3803830948e+01    1.7289074001e+01    6.9795078914e+00   -5.6442585696e+01    1.1341340708e+00    4.8153000000e+05    1.4737081051e+01    9.9968849293e-01
        26   -1.7234282097e+01    2.9741734388e+02   -3.0993324145e+01    1.3759042048e+01    1.7286158233e+01    6.9795078915e+00   -5.6434762392e+01    1.1757721224e+00    4.8207700000e+05    1.4756765842e+01    9.9967171591e-01
        27   -1.7233129203e+01    2.9738052931e+02   -3.1045269809e+01    1.3812140605e+01    1.7260607910e+01    6.9795078914e+00   -5.6443091244e+01    1.1577056349e+00    4.8197200000e+05    1.4849811077e+01    9.9966778287e-01
        28   -1.7232384883e+01    2.9734754596e+02   -3.1032889339e+01    1.3800504457e+01    1.7251250506e+01    6.9795078914e+00   -5.6445986747e+01    1.1823390100e+00    4.8195400000e+05    1.4818700790e+01    9.9967397664e-01
        29   -1.7235027344e+01    2.9744270166e+02   -3.1070501910e+01    1.3835474566e+01    1.7252226188e+01    6.9795078914e+00   -5.6459428055e+01    1.1571920650e+00    4.8207100000e+05    1.4783705950e+01    9.9968936111e-01
        30   -1.7234165553e+01    2.9741680627e+02   -3.1051943746e+01    1.3817778194e+01    1.7235853172e+01    6.9795078914e+00   -5.6409280099e+01    1.1419752886e+00    4.8241700000e+05    1.4916460991e+01    9.9967479767e-01
        31   -1.7236018745e+01    2.9750731694e+02   -3.1076310518e+01    1.3840291773e+01    1.7247952178e+01    6.9795078914e+00   -5.6396951596e+01    1.0931810089e+00    4.8287100000e+05    1.5219849110e+01    9.9968029764e-01
        32   -1.7231591212e+01    2.9736384719e+02   -3.1103050929e+01    1.3871459717e+01    1.7241880078e+01    6.9795078914e+00   -5.6450791617e+01    1.1263527184e+00    4.8324700000e+05    1.4946274996e+01    9.9967096822e-01
        33   -1.7234109156e+01    2.9756390182e+02   -3.1144135029e+01    1.3910025873e+01    1.7254096765e+01    6.9795078914e+00   -5.6533225012e+01    1.1554853271e+00    4.8367000000e+05    1.4736377001e+01    9.9967382697e-01
        34   -1.7237638707e+01    2.9753965007e+02   -3.1158531122e+01    1.3920892415e+01    1.7257754141e+01    6.9795078914e+00   -5.6532220161e+01    1.1364270058e+00    4.8381400000e+05    1.4660048008e+01    9.9968093198e-01
        35   -1.7235846209e+01    2.9749917128e+02   -3.1144915267e+01    1.3909069058e+01    1.7265892785e+01    6.9795078915e+00   -5.6530391558e+01    1.1400756152e+00    4.8415400000e+05    1.4765734911e+01    9.9966021383e-01
        36   -1.7239943727e+01    2.9761875772e+02   -3.1101366000e+01    1.3861422273e+01    1.7251053612e+01    6.9795078914e+00   -5.6475095425e+01    1.1431679205e+00    4.8442600000e+05    1.4763451099e+01    9.9966635427e-01
