#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7197852530e+01    2.9613921085e+02   -3.0915680222e+01    1.3717827692e+01    1.6973571539e+01    6.9795078914e+00   -5.5986959293e+01    1.1181996413e+00    2.6720000000e+03    1.3571253419e-01    3.7968750000e-01
         1   -1.7227787902e+01    2.9713533003e+02   -3.0991866687e+01    1.3764078785e+01    1.6871750994e+01    6.9795078914e+00   -5.5877535484e+01    1.0344099116e+00    2.6720000000e+03    1.3065531850e-01    3.8252245509e-01
         2   -1.7230328482e+01    2.9722139791e+02   -3.0919696383e+01    1.3689367902e+01    1.6934013131e+01    6.9795078914e+00   -5.6026545822e+01    1.1933284163e+00    2.6720000000e+03    1.2991198897e-01    3.8384169162e-01
         3   -1.7194520158e+01    2.9612984695e+02   -3.1030725105e+01    1.3836204948e+01    1.6858530711e+01    6.9795078914e+00   -5.5908161903e+01    1.0393981957e+00    2.6720000000e+03    1.3284453750e-01    3.8612462575e-01
         4   -1.7209343282e+01    2.9654152882e+02   -3.1064783716e+01    1.3855440434e+01    1.6884864395e+01    6.9795078914e+00   -5.5943739340e+01    1.0145833376e+00    2.6720000000e+03    1.2964838743e-01    3.8083832335e-01
         5   -1.7196577544e+01    2.9613798462e+02   -3.1005194091e+01    1.3808616548e+01    1.7002443842e+01    6.9795078914e+00   -5.6178240461e+01    1.1910946366e+00    2.6720000000e+03    1.3013654947e-01    3.8410366766e-01
         6   -1.7198485402e+01    2.9614732831e+02   -3.0794394083e+01    1.3595908681e+01    1.6975516695e+01    6.9795078914e+00   -5.5977980484e+01    1.2285618140e+00    2.6720000000e+03    1.3173133135e-01    3.8063248503e-01
         7   -1.7214799896e+01    2.9673596274e+02   -3.0961628367e+01    1.3746828470e+01    1.6962330511e+01    6.9795078914e+00   -5.6045752952e+01    1.1422861826e+00    2.6720000000e+03    1.3514596224e-01    3.8145583832e-01
         8   -1.7192365506e+01    2.9592939940e+02   -3.0516319503e+01    1.3323953997e+01    1.6832962904e+01    6.9795078914e+00   -5.5621265611e+01    1.2924753126e+00    2.6720000000e+03    1.3160330057e-01    3.8538547904e-01
         9   -1.7214199129e+01    2.9668370887e+02   -3.0614672385e+01    1.3400473256e+01    1.6941715448e+01    6.9795078914e+00   -5.5763392453e+01    1.2274967289e+00    2.6720000000e+03    1.3109892607e-01    3.8240082335e-01
