#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.6365193868e+01    5.8453680873e+03   -1.5214903127e+02    7.5783837400e+01    3.8587378598e+01    9.1895337630e+00   -1.9992594363e+02    2.4000000000e+02    1.6396641731e-02    6.3802777778e-01
         1   -7.5808738218e+01    5.7584978884e+03   -1.4353739880e+02    6.7728660582e+01    3.7003746718e+01    9.1895337630e+00   -1.8973067928e+02    2.4000000000e+02    1.6659587622e-02    6.4473611111e-01
         2   -7.5454097334e+01    5.7528001588e+03   -1.5088798317e+02    7.5433885836e+01    3.8643623679e+01    9.1895337630e+00   -1.9872114061e+02    2.4000000000e+02    1.5676796436e-02    6.3594444444e-01
         3   -7.6260630957e+01    5.8269082229e+03   -1.4962014834e+02    7.3359517385e+01    3.7265118656e+01    9.1895337630e+00   -1.9607480076e+02    2.4000000000e+02    1.5660673380e-02    6.3881944444e-01
         4   -7.6182998715e+01    5.8143938857e+03   -1.4177871843e+02    6.5595719712e+01    3.7612259552e+01    9.1895337630e+00   -1.8858051174e+02    2.4000000000e+02    1.5770465136e-02    6.4075000000e-01
         5   -7.5816130246e+01    5.7744866653e+03   -1.6918500399e+02    9.3368873745e+01    3.8461326454e+01    9.1895337630e+00   -2.1683586421e+02    2.4000000000e+02    1.5722155571e-02    6.3861111111e-01
         6   -7.6144511225e+01    5.8339187531e+03   -1.5693993727e+02    8.0795426047e+01    3.8191136653e+01    9.1895337630e+00   -2.0432060769e+02    2.4000000000e+02    1.5691757202e-02    6.3315277778e-01
         7   -7.6526829891e+01    5.8656552788e+03   -1.5223410654e+02    7.5707276652e+01    3.7432031550e+01    9.1895337630e+00   -1.9885567186e+02    2.4000000000e+02    1.5731245279e-02    6.3908333333e-01
         8   -7.6067822939e+01    5.7986953344e+03   -1.5970227048e+02    8.3634447542e+01    3.8203676031e+01    9.1895337630e+00   -2.0709548027e+02    2.4000000000e+02    1.5867710114e-02    6.3583333333e-01
         9   -7.6598415165e+01    5.8739696002e+03   -1.4730367900e+02    7.0705263839e+01    3.6523348988e+01    9.1895337630e+00   -1.9301656176e+02    2.4000000000e+02    1.7251610756e-02    6.3979166667e-01
        10   -7.6069092439e+01    5.7991682477e+03   -1.4067764592e+02    6.4608553478e+01    3.6959004810e+01    9.1895337630e+00   -1.8682618449e+02    2.4000000000e+02    1.5783399343e-02    6.3995833333e-01
        11   -7.5897730132e+01    5.7737155530e+03   -1.5243682879e+02    7.6539098662e+01    3.8180418892e+01    9.1895337630e+00   -1.9980678145e+02    2.4000000000e+02    1.5810787678e-02    6.4072222222e-01
        12   -7.6114199741e+01    5.8110916159e+03   -1.4698380893e+02    7.0869609192e+01    3.7690355527e+01    9.1895337630e+00   -1.9386369822e+02    2.4000000000e+02    1.5694648027e-02    6.3651388889e-01
        13   -7.5897521896e+01    5.7892742616e+03   -1.3784707040e+02    6.1949548507e+01    3.8569182532e+01    9.1895337630e+00   -1.8560578670e+02    2.4000000000e+02    1.5925109386e-02    6.3883333333e-01
        14   -7.6151298399e+01    5.8075975069e+03   -1.4138760803e+02    6.5236309634e+01    3.7186305655e+01    9.1895337630e+00   -1.8776344745e+02    2.4000000000e+02    1.5969723463e-02    6.3852777778e-01
        15   -7.6031217209e+01    5.8001276568e+03   -1.5210825380e+02    7.6077036592e+01    3.7957490228e+01    9.1895337630e+00   -1.9925527779e+02    2.4000000000e+02    1.5777915716e-02    6.4008333333e-01
