#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.6297721072e+01    5.8225977377e+03   -1.5348726386e+02    7.7189542789e+01    3.5999310885e+01    9.1895337630e+00   -1.9867610851e+02    3.2000200000e+05    7.8434360027e+00    9.9698819088e-01
         1   -7.6376523564e+01    5.8352285120e+03   -1.5352681438e+02    7.7150290814e+01    3.6144750574e+01    9.1895337630e+00   -1.9886109871e+02    3.1999600000e+05    7.7282938957e+00    9.9690463913e-01
         2   -7.6385978852e+01    5.8368798495e+03   -1.5275812607e+02    7.6372147218e+01    3.6228579408e+01    9.1895337630e+00   -1.9817623924e+02    3.2000100000e+05    8.1413879395e+00    9.9692246153e-01
         3   -7.6406883786e+01    5.8401669452e+03   -1.5249596097e+02    7.6089077186e+01    3.6281914221e+01    9.1895337630e+00   -1.9796740896e+02    3.1999900000e+05    7.6650300026e+00    9.9697656250e-01
         4   -7.6418822599e+01    5.8420215924e+03   -1.5219056373e+02    7.5771741135e+01    3.6304324292e+01    9.1895337630e+00   -1.9768442179e+02    3.2000300000e+05    7.8313360214e+00    9.9685029281e-01
         5   -7.6418821800e+01    5.8423256530e+03   -1.5236782777e+02    7.5949005968e+01    3.6330956842e+01    9.1895337630e+00   -1.9788831837e+02    3.2000000000e+05    7.8276607990e+00    9.9689730385e-01
         6   -7.6404137286e+01    5.8403407117e+03   -1.5310197006e+02    7.6697832776e+01    3.6392930615e+01    9.1895337629e+00   -1.9868443444e+02    3.2004300000e+05    7.8058660030e+00    9.9685039370e-01
         7   -7.6405306925e+01    5.8401690250e+03   -1.5271683847e+02    7.6311531549e+01    3.6393472937e+01    9.1895337630e+00   -1.9829984517e+02    3.1986000000e+05    7.7939269543e+00    9.9688096913e-01
         8   -7.6411441203e+01    5.8412486113e+03   -1.5304402857e+02    7.6632587365e+01    3.6403672275e+01    9.1895337630e+00   -1.9863723461e+02    3.1960000000e+05    8.1128530502e+00    9.9684577429e-01
         9   -7.6412581385e+01    5.8412030563e+03   -1.5260769824e+02    7.6195116853e+01    3.6399851953e+01    9.1895337630e+00   -1.9819708395e+02    3.1943600000e+05    8.0839002132e+00    9.9684920314e-01
        10   -7.6417006046e+01    5.8418238665e+03   -1.5209722606e+02    7.5680220015e+01    3.6392741219e+01    9.1895337630e+00   -1.9767950104e+02    3.1935400000e+05    8.0443110466e+00    9.9685684852e-01
        11   -7.6415472254e+01    5.8415140694e+03   -1.5212761821e+02    7.5712145952e+01    3.6360266246e+01    9.1895337630e+00   -1.9767741821e+02    3.1930800000e+05    8.0675899982e+00    9.9689333037e-01
        12   -7.6403185640e+01    5.8398607138e+03   -1.5284118880e+02    7.6438003156e+01    3.6357156827e+01    9.1895337631e+00   -1.9838787939e+02    3.1912100000e+05    8.0548698902e+00    9.9686239734e-01
        13   -7.6408693951e+01    5.8407169945e+03   -1.5238932324e+02    7.5980629286e+01    3.6345125897e+01    9.1895337630e+00   -1.9792398290e+02    3.1891300000e+05    8.0168249607e+00    9.9696281756e-01
        14   -7.6414079318e+01    5.8414741748e+03   -1.5285387067e+02    7.6439791355e+01    3.6340961869e+01    9.1895337631e+00   -1.9838436631e+02    3.1877200000e+05    8.0260109901e+00    9.9688602806e-01
        15   -7.6416349772e+01    5.8420912644e+03   -1.5179107837e+02    7.5374728602e+01    3.6315707032e+01    9.1895337630e+00   -1.9729631917e+02    3.1903500000e+05    8.0450429916e+00    9.9688006445e-01
        16   -7.6409387909e+01    5.8408968594e+03   -1.5195718656e+02    7.5547798646e+01    3.6357689556e+01    9.1895337631e+00   -1.9750440987e+02    3.1922900000e+05    8.0598378181e+00    9.9679563688e-01
        17   -7.6412631025e+01    5.8414132294e+03   -1.5227257751e+02    7.5859946488e+01    3.6351188328e+01    9.1895337631e+00   -1.9781329960e+02    3.1925700000e+05    7.9408738613e+00    9.9691470168e-01
        18   -7.6420223699e+01    5.8423814128e+03   -1.5232377679e+02    7.5903553094e+01    3.6354898538e+01    9.1895337630e+00   -1.9786820909e+02    3.1944400000e+05    7.9493029118e+00    9.9692102998e-01
        19   -7.6416928755e+01    5.8418175977e+03   -1.5225328612e+02    7.5836357365e+01    3.6419369770e+01    9.1895337630e+00   -1.9786218965e+02    3.1957200000e+05    7.9325950146e+00    9.9683620946e-01
        20   -7.6414638463e+01    5.8414994977e+03   -1.5236644888e+02    7.5951810414e+01    3.6490253425e+01    9.1895337630e+00   -1.9804623606e+02    3.1938100000e+05    7.8904280663e+00    9.9691837546e-01
        21   -7.6409413375e+01    5.8406653446e+03   -1.5232766323e+02    7.5918249854e+01    3.6440772758e+01    9.1895337630e+00   -1.9795796975e+02    3.1929000000e+05    7.8111619949e+00    9.9695964673e-01
        22   -7.6409890820e+01    5.8408293144e+03   -1.5256621382e+02    7.6156322997e+01    3.6471291513e+01    9.1895337630e+00   -1.9822703909e+02    3.1922300000e+05    7.8536460400e+00    9.9687367844e-01
