#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.6393900346e+01    5.8378240948e+03   -1.5206167784e+02    7.5667777495e+01    3.7432675930e+01    9.1895337630e+00   -1.9868388753e+02    2.0000000000e+03    9.0385496616e-02    3.1086000000e-01
         1   -7.6346441526e+01    5.8314866832e+03   -1.4422308922e+02    6.7876647694e+01    3.6904609220e+01    9.1895337630e+00   -1.9031723220e+02    2.0000000000e+03    9.0154260397e-02    3.1056000000e-01
         2   -7.6339158768e+01    5.8298365825e+03   -1.4193296291e+02    6.5593804147e+01    3.7462074609e+01    9.1895337630e+00   -1.8858457129e+02    2.0000000000e+03    9.0023398399e-02    3.0831000000e-01
         3   -7.6438467056e+01    5.8446616385e+03   -1.3512108312e+02    5.8682616065e+01    3.7020795280e+01    9.1895337630e+00   -1.8133141216e+02    2.0000000000e+03    9.0367913246e-02    3.1119000000e-01
         4   -7.6408792421e+01    5.8405419741e+03   -1.3690764839e+02    6.0498855966e+01    3.6908843243e+01    9.1895337630e+00   -1.8300602539e+02    2.0000000000e+03    9.0681761503e-02    3.1168000000e-01
         5   -7.6347140910e+01    5.8317655577e+03   -1.9685266782e+02    1.2050552691e+02    3.7650468227e+01    9.1895337630e+00   -2.4369266981e+02    2.0000000000e+03    9.4478070736e-02    3.1164000000e-01
         6   -7.6343622753e+01    5.8302475599e+03   -1.5422622976e+02    7.7882607003e+01    3.6764626215e+01    9.1895337630e+00   -2.0018038973e+02    2.0000000000e+03    9.2807292938e-02    3.1352000000e-01
         7   -7.6335237154e+01    5.8289242619e+03   -1.4965474693e+02    7.3319509777e+01    3.6636577876e+01    9.1895337630e+00   -1.9548085857e+02    2.0000000000e+03    9.5526516438e-02    3.1307000000e-01
         8   -7.6427839428e+01    5.8435029740e+03   -1.6087419693e+02    8.4446357498e+01    3.7596599125e+01    9.1895337630e+00   -2.0766032981e+02    2.0000000000e+03    9.1684252024e-02    3.1218000000e-01
         9   -7.6424221408e+01    5.8429985179e+03   -1.3147502956e+02    5.5050808150e+01    3.6699568616e+01    9.1895337630e+00   -1.7736413194e+02    2.0000000000e+03    9.4772100449e-02    3.1088000000e-01
        10   -7.6392383974e+01    5.8377174757e+03   -1.3632553488e+02    5.9933150907e+01    3.7086809713e+01    9.1895337630e+00   -1.8260187836e+02    2.0000000000e+03    9.5429271460e-02    3.1200000000e-01
        11   -7.6325345241e+01    5.8272978172e+03   -1.5986750112e+02    8.3542155877e+01    3.7222102476e+01    9.1895337630e+00   -2.0627913736e+02    2.0000000000e+03    9.2739403248e-02    3.1095000000e-01
        12   -7.6524123354e+01    5.8606942483e+03   -1.3251051473e+02    5.5986391377e+01    3.7083662008e+01    9.1895337630e+00   -1.7878371050e+02    2.0000000000e+03    9.4269663095e-02    3.1020000000e-01
