# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -2.1680227415e+01    1.4044324042e+00    2.5600000000e+02    2.5600000000e+02    0.0000000000e+00   -2.1131820462e+01    9.9549718329e-01    1.0000000000e+00
         1   -2.1696702201e+01    1.3309331074e+00    2.5601039740e+02    2.5600000000e+02    0.0000000000e+00   -2.1680227415e+01    9.9761612438e-01    1.0000000000e+00
         2   -2.1657160196e+01    1.4142638928e+00    2.5597916315e+02    2.5800000000e+02    0.0000000000e+00   -2.3253130289e+01    9.9645521965e-01    9.9612403101e-01
         3   -2.1589354019e+01    1.5619092282e+00    2.5596192545e+02    2.5700000000e+02    0.0000000000e+00   -2.2436888279e+01    9.9605970029e-01    9.9610894942e-01
         4   -2.1613183504e+01    1.2408823251e+00    2.5603655819e+02    2.5600000000e+02    0.0000000000e+00   -2.1589354019e+01    9.9699051592e-01    1.0000000000e+00
         5   -2.1627382455e+01    1.1134372467e+00    2.5601651556e+02    2.5800000000e+02    0.0000000000e+00   -2.3169611592e+01    9.9852423057e-01    1.0000000000e+00
         6   -2.1660516712e+01    9.8748007183e-01    2.5602423137e+02    2.5800000000e+02    0.0000000000e+00   -2.3183810543e+01    9.9726592391e-01    9.9612403101e-01
         7   -2.1707792890e+01    1.0841498227e+00    2.5603194460e+02    2.5700000000e+02    0.0000000000e+00   -2.2440244795e+01    9.9675175148e-01    9.9610894942e-01
         8   -2.1685286009e+01    1.1641809920e+00    2.5598742620e+02    2.5600000000e+02    0.0000000000e+00   -2.1707792890e+01    9.9534356088e-01    1.0000000000e+00
         9   -2.1711551573e+01    1.3533932049e+00    2.5602357997e+02    2.5700000000e+02    0.0000000000e+00   -2.2465014092e+01    9.9595321811e-01    9.9610894942e-01
        10   -2.1707529711e+01    1.3619384264e+00    2.5599712848e+02    2.5600000000e+02    0.0000000000e+00   -2.1711551573e+01    9.9862272875e-01    1.0000000000e+00
        11   -2.1652429031e+01    1.2761225732e+00    2.5596099510e+02    2.5600000000e+02    0.0000000000e+00   -2.1707529711e+01    9.9840259180e-01    1.0000000000e+00
        12   -2.1675496888e+01    1.4515296743e+00    2.5601732035e+02    2.5700000000e+02    0.0000000000e+00   -2.2432157114e+01    9.9524000118e-01    9.8832684825e-01
        13   -2.1734079128e+01    1.1591275762e+00    2.5604422599e+02    2.5400000000e+02    0.0000000000e+00   -2.0106861396e+01    9.9766076651e-01    1.0000000000e+00
        14   -2.1791497480e+01    1.2356123725e+00    2.5603696486e+02    2.5800000000e+02    0.0000000000e+00   -2.3290507216e+01    9.9811093806e-01    9.9612403101e-01
        15   -2.1756474458e+01    1.2697579374e+00    2.5597940545e+02    2.5700000000e+02    0.0000000000e+00   -2.2571225563e+01    9.9826373063e-01    9.9610894942e-01
        16   -2.1791032398e+01    1.1538483671e+00    2.5601769955e+02    2.5600000000e+02    0.0000000000e+00   -2.1756474458e+01    9.9558531166e-01    1.0000000000e+00
        17   -2.1820070216e+01    1.2476264923e+00    2.5601514884e+02    2.5600000000e+02    0.0000000000e+00   -2.1791032398e+01    9.9445466030e-01    1.0000000000e+00
        18   -2.1794792776e+01    1.2061242821e+00    2.5598039393e+02    2.5600000000e+02    0.0000000000e+00   -2.1820070216e+01    9.9713162227e-01    9.9609375000e-01
        19   -2.1742708364e+01    1.3931319207e+00    2.5597994975e+02    2.5700000000e+02    0.0000000000e+00   -2.2574520859e+01    9.9416309246e-01    9.9610894942e-01
        20   -2.1845701630e+01    1.3217044832e+00    2.5606509185e+02    2.5600000000e+02    0.0000000000e+00   -2.1742708364e+01    9.9776976355e-01    1.0000000000e+00
        21   -2.1807611034e+01    1.2857552525e+00    2.5597952120e+02    2.5700000000e+02    0.0000000000e+00   -2.2625429713e+01    9.9711746513e-01    1.0000000000e+00
        22   -2.1822120664e+01    1.4803900793e+00    2.5600867253e+02    2.5700000000e+02    0.0000000000e+00   -2.2587339117e+01    9.9616332777e-01    9.9610894942e-01
        23   -2.1796037283e+01    1.4534378727e+00    2.5598276793e+02    2.5600000000e+02    0.0000000000e+00   -2.1822120664e+01    9.9878730124e-01    9.8828125000e-01
        24   -2.1783380567e+01    1.3853752354e+00    2.5598608821e+02    2.5300000000e+02    0.0000000000e+00   -1.9438446133e+01    9.9749207035e-01    1.0000000000e+00
