#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -2.1706796859e+01    4.7243941655e+02   -4.1975101570e+01    2.0268304711e+01   -5.3316766386e+00   -2.5551327192e+01   -1.3499438337e+01    2.4073405972e+00    5.1320000000e+03    3.4971079826e+00    9.9808797740e-01
         1   -2.1818322463e+01    4.7724419392e+02   -4.1481032901e+01    1.9662710438e+01   -5.2587383396e+00   -2.5551327192e+01   -1.2811198490e+01    2.1402311205e+00    5.1160000000e+03    3.5528399944e+00    9.9833822092e-01
         2   -2.1834069377e+01    4.7798269891e+02   -4.1944997049e+01    2.0110927672e+01   -5.2816538910e+00   -2.5551327192e+01   -1.3344207110e+01    2.2321911441e+00    5.1120000000e+03    3.4723269939e+00    9.9798347673e-01
         3   -2.1859961313e+01    4.7921133461e+02   -4.2787425032e+01    2.0927463720e+01   -5.3493548728e+00   -2.5551327192e+01   -1.3785165550e+01    1.8984225826e+00    5.1280000000e+03    3.5379779339e+00    9.9820801638e-01
         4   -2.1857693044e+01    4.7914880651e+02   -4.2781187901e+01    2.0923494856e+01   -5.4562095100e+00   -2.5551327192e+01   -1.3930340333e+01    2.1566891344e+00    5.1150000000e+03    3.4759619236e+00    9.9802130154e-01
         5   -2.1836081016e+01    4.7818405310e+02   -4.2860909882e+01    2.1024828866e+01   -5.2807723281e+00   -2.5551327192e+01   -1.4056577316e+01    2.0277669537e+00    5.0210000000e+03    3.4506850243e+00    9.9772478615e-01
         6   -2.1820350922e+01    4.7764878179e+02   -4.2497705668e+01    2.0677354746e+01   -5.1893356792e+00   -2.5551327192e+01   -1.3898985637e+01    2.1419428405e+00    4.9310000000e+03    3.3466019630e+00    9.9827621172e-01
         7   -2.1853244046e+01    4.7891858943e+02   -4.2927136308e+01    2.1073892262e+01   -5.1771617789e+00   -2.5551327192e+01   -1.4228444746e+01    2.0297974086e+00    4.9030000000e+03    3.3128490448e+00    9.9822993073e-01
         8   -2.1840645780e+01    4.7833028708e+02   -4.2829494153e+01    2.0988848373e+01   -5.1680218335e+00   -2.5551327192e+01   -1.4197457691e+01    2.0873125637e+00    4.8490000000e+03    3.2709639072e+00    9.9835051546e-01
         9   -2.1784297316e+01    4.7652426945e+02   -4.2745463339e+01    2.0961166023e+01   -5.3031388771e+00   -2.5551327192e+01   -1.3837481924e+01    1.9464846543e+00    4.7880000000e+03    3.1776490211e+00    9.9830411188e-01
        10   -2.1737112009e+01    4.7375070729e+02   -4.2531260541e+01    2.0794148532e+01   -5.4283964364e+00   -2.5551327192e+01   -1.3579668100e+01    2.0281311870e+00    4.7290000000e+03    3.1590650082e+00    9.9798003802e-01
        11   -2.1794129522e+01    4.7642557693e+02   -4.2116205259e+01    2.0322075737e+01   -5.4169173546e+00   -2.5551327192e+01   -1.3212658662e+01    2.0646979499e+00    4.7530000000e+03    3.2009758949e+00    9.9824852507e-01
        12   -2.1819066961e+01    4.7746298769e+02   -4.2314065571e+01    2.0494998609e+01   -5.3264063284e+00   -2.5551327192e+01   -1.3247204965e+01    1.8108729150e+00    4.8530000000e+03    3.2472388744e+00    9.9796391753e-01
        13   -2.1871447335e+01    4.7983009969e+02   -4.2157893247e+01    2.0286445912e+01   -5.3260901919e+00   -2.5551327192e+01   -1.3257230565e+01    1.9767547020e+00    4.9200000000e+03    3.3711020947e+00    9.9850010169e-01
        14   -2.1802192578e+01    4.7668146200e+02   -4.2149880073e+01    2.0347687495e+01   -5.4658784041e+00   -2.5551327192e+01   -1.3063993438e+01    1.9313189613e+00    4.8500000000e+03    3.3215250969e+00    9.9822311496e-01
        15   -2.1812004150e+01    4.7702062541e+02   -4.2131120287e+01    2.0319116136e+01   -5.5938171648e+00   -2.5551327192e+01   -1.3106762049e+01    2.1207861192e+00    4.9120000000e+03    3.3414661884e+00    9.9782331976e-01
        16   -2.1862799609e+01    4.7921226427e+02   -4.1934805838e+01    2.0072006229e+01   -5.6657774056e+00   -2.5551327192e+01   -1.2702163205e+01    1.9844619649e+00    4.9140000000e+03    3.3457889557e+00    9.9792557524e-01
