#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.6435298851e+01    5.8511996183e+03   -1.4376963344e+02    6.7334334584e+01    3.7435164121e+01    9.1895337630e+00   -1.9039433132e+02    2.4000000000e+02    9.6167027950e-02    6.3688888889e-01
         1   -7.6083253386e+01    5.8377977859e+03   -1.5386938856e+02    7.7786135176e+01    3.7612592421e+01    9.1895337630e+00   -2.0067151475e+02    2.4000000000e+02    9.5058679581e-02    6.3781944444e-01
         2   -7.5700395348e+01    5.7817098739e+03   -1.5247499028e+02    7.6774594927e+01    3.7795227562e+01    9.1895337630e+00   -1.9945975160e+02    2.4000000000e+02    9.4942957163e-02    6.3843055556e-01
         3   -7.6332080397e+01    5.8405525166e+03   -1.5608803190e+02    7.9755951504e+01    3.6844816851e+01    9.1895337630e+00   -2.0212238251e+02    2.4000000000e+02    9.5768749714e-02    6.3895833333e-01
         4   -7.6483469938e+01    5.8586257183e+03   -1.4717389025e+02    7.0690420315e+01    3.7646818876e+01    9.1895337630e+00   -1.9401024289e+02    2.4000000000e+02    9.5368742943e-02    6.3376388889e-01
         5   -7.5842925219e+01    5.7762892317e+03   -1.4321762136e+02    6.7374696143e+01    3.8450895233e+01    9.1895337630e+00   -1.9085805036e+02    2.4000000000e+02    9.5293939114e-02    6.3427777778e-01
         6   -7.6342234632e+01    5.8459610885e+03   -1.5083596979e+02    7.4493735154e+01    3.8088377506e+01    9.1895337630e+00   -1.9811388106e+02    2.4000000000e+02    9.4589203596e-02    6.3761111111e-01
         7   -7.5926606156e+01    5.7775443649e+03   -1.4371948353e+02    6.7792877374e+01    3.7610367513e+01    9.1895337630e+00   -1.9051938481e+02    2.4000000000e+02    9.4793379307e-02    6.3705555556e-01
         8   -7.5876375402e+01    5.7751325912e+03   -1.5241160538e+02    7.6535229974e+01    3.8504680997e+01    9.1895337630e+00   -2.0010582014e+02    2.4000000000e+02    9.4859659672e-02    6.3600000000e-01
         9   -7.5996190166e+01    5.7933050114e+03   -1.6179350874e+02    8.5797318579e+01    3.7843917409e+01    9.1895337630e+00   -2.0882695992e+02    2.4000000000e+02    9.4650685787e-02    6.3506944444e-01
        10   -7.5867511742e+01    5.7676533623e+03   -1.4722170960e+02    7.1354197857e+01    3.7901409319e+01    9.1895337630e+00   -1.9431265268e+02    2.4000000000e+02    9.4573378563e-02    6.3498611111e-01
        11   -7.5669407022e+01    5.7531091496e+03   -1.4777805781e+02    7.2108650788e+01    3.7671647252e+01    9.1895337630e+00   -1.9463923882e+02    2.4000000000e+02    9.4935178757e-02    6.3830555556e-01
        12   -7.6491304717e+01    5.8591243956e+03   -1.4777911031e+02    7.1287805595e+01    3.7038862698e+01    9.1895337630e+00   -1.9400750677e+02    2.4000000000e+02    9.4785362482e-02    6.3291666667e-01
        13   -7.6075306694e+01    5.8028065814e+03   -1.4354693446e+02    6.7471627766e+01    3.7337396757e+01    9.1895337630e+00   -1.9007386498e+02    2.4000000000e+02    9.4960331917e-02    6.4058333333e-01
        14   -7.6469382619e+01    5.8582954486e+03   -1.5558929979e+02    7.9119917172e+01    3.7774725139e+01    9.1895337630e+00   -2.0255355869e+02    2.4000000000e+02    9.4882607460e-02    6.3751388889e-01
        15   -7.6149923609e+01    5.8179073929e+03   -1.5102523969e+02    7.4875316081e+01    3.7609345582e+01    9.1895337630e+00   -1.9782411903e+02    2.4000000000e+02    9.6409827471e-02    6.3998611111e-01
        16   -7.5583133982e+01    5.7510609374e+03   -1.4126057476e+02    6.5677440777e+01    3.8070551870e+01    9.1895337630e+00   -1.8852066039e+02    2.4000000000e+02    9.4731092453e-02    6.3929166667e-01
