# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -7.6390026137e+01    3.7816665619e+00    1.6387000000e+04    1.6384000000e+04    0.0000000000e+00   -7.6388853127e+01    9.9474201416e-01    9.9981689453e-01
         1   -7.6387471414e+01    1.9459579593e+00    1.5998940037e+04    1.6384000000e+04    0.0000000000e+00   -1.0028964146e+02    9.9439923296e-01    9.7711181641e-01
         2   -7.6395580780e+01    2.1169286574e+00    1.6000125324e+04    1.6009000000e+04    4.8437500000e-01   -7.6949813270e+01    9.9499834149e-01    9.9925042164e-01
         3   -7.6385301520e+01    1.9160160927e+00    1.5999897104e+04    1.5997000000e+04    4.2968750000e-02   -7.6208063199e+01    9.9456109721e-01    9.9968744140e-01
         4   -7.6398975686e+01    2.0726875799e+00    1.6000125306e+04    1.6005000000e+04    5.0781250000e-02   -7.6697752702e+01    9.9492486071e-01    9.9943767573e-01
         5   -7.6401498610e+01    1.8986245497e+00    1.6000007490e+04    1.6001000000e+04    3.5156250000e-02   -7.6461473733e+01    9.9469873183e-01    9.9943753515e-01
         6   -7.6396777930e+01    1.7102264806e+00    1.5999939542e+04    1.5996000000e+04    3.5156250000e-02   -7.6151467354e+01    9.9473177356e-01    9.9993748437e-01
         7   -7.6399739496e+01    2.3424014494e+00    1.6000001896e+04    1.6003000000e+04    3.1250000000e-02   -7.6584260354e+01    9.9462903268e-01    9.9962507030e-01
         8   -7.6393700106e+01    2.1110108050e+00    1.5999918707e+04    1.6005000000e+04    3.1250000000e-02   -7.6712190678e+01    9.9467899981e-01    9.9943767573e-01
         9   -7.6401482204e+01    1.9007683176e+00    1.6000092179e+04    1.6004000000e+04    3.5156250000e-02   -7.6643668861e+01    9.9520733931e-01    9.9925018745e-01
        10   -7.6410963611e+01    2.5354200813e+00    1.6000024680e+04    1.5996000000e+04    4.2968750000e-02   -7.6151450948e+01    9.9497468466e-01    9.9987496874e-01
        11   -7.6401093452e+01    1.9391572290e+00    1.5999875895e+04    1.6000000000e+04    1.9531250000e-02   -7.6410963611e+01    9.9474008595e-01    9.9975000000e-01
        12   -7.6403191442e+01    2.3104741419e+00    1.6000009986e+04    1.6003000000e+04    2.7343750000e-02   -7.6588575876e+01    9.9501544094e-01    9.9968755858e-01
        13   -7.6395268059e+01    3.6645771692e+00    1.5999900129e+04    1.6000000000e+04    1.9531250000e-02   -7.6403191442e+01    9.9506048244e-01    9.9937500000e-01
        14   -7.6409560629e+01    2.9420916461e+00    1.5999988962e+04    1.5994000000e+04    3.5156250000e-02   -7.6020197729e+01    9.9491298481e-01    9.9987495311e-01
        15   -7.6434166541e+01    3.6364076210e+00    1.6000053810e+04    1.6002000000e+04    3.1250000000e-02   -7.6534552817e+01    9.9422820994e-01    9.9931258593e-01
