#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.6404489119e+01    5.8399483264e+03   -1.5307081765e+02    7.6666328532e+01    3.7248186392e+01    9.1895337630e+00   -1.9950853781e+02    3.2039900000e+05    5.4922691931e-01    9.9697547344e-01
         1   -7.6414009053e+01    5.8414139118e+03   -1.5348753197e+02    7.7073522912e+01    3.7250883303e+01    9.1895337630e+00   -1.9992794903e+02    3.1999900000e+05    5.3652332345e-01    9.9687923220e-01
         2   -7.6402287650e+01    5.8393136153e+03   -1.5305926219e+02    7.6656974541e+01    3.7267771616e+01    9.1895337630e+00   -1.9951656757e+02    3.2004000000e+05    5.3751872608e-01    9.9695096563e-01
         3   -7.6407978177e+01    5.8405677216e+03   -1.5301444816e+02    7.6606469985e+01    3.7272684153e+01    9.1895337630e+00   -1.9947666608e+02    3.1999900000e+05    5.3814212042e-01    9.9685431580e-01
         4   -7.6414385357e+01    5.8416681685e+03   -1.5353487560e+02    7.7120490242e+01    3.7268018849e+01    9.1895337630e+00   -1.9999242821e+02    3.2002800000e+05    5.3982907765e-01    9.9687948174e-01
         5   -7.6410921218e+01    5.8412706782e+03   -1.5377627408e+02    7.7365352860e+01    3.7225272778e+01    9.1895337630e+00   -2.0019108062e+02    3.1992700000e+05    5.3880670125e-01    9.9681442165e-01
         6   -7.6432844407e+01    5.8440127451e+03   -1.5360836476e+02    7.7175520351e+01    3.7228211312e+01    9.1895337630e+00   -2.0002610983e+02    3.1989100000e+05    5.3507381792e-01    9.9693082539e-01
         7   -7.6429874612e+01    5.8435678609e+03   -1.5311262037e+02    7.6682745757e+01    3.7222848576e+01    9.1895337630e+00   -1.9952500271e+02    3.1978900000e+05    5.3613440219e-01    9.9687325655e-01
         8   -7.6427310008e+01    5.8434185611e+03   -1.5259989588e+02    7.6172585869e+01    3.7233232911e+01    9.1895337630e+00   -1.9902266255e+02    3.1933200000e+05    5.3659588501e-01    9.9689939549e-01
         9   -7.6422841861e+01    5.8425632043e+03   -1.5295116837e+02    7.6528326508e+01    3.7226015014e+01    9.1895337630e+00   -1.9936671715e+02    3.1928100000e+05    5.3673373722e-01    9.9682526479e-01
        10   -7.6424156606e+01    5.8429958938e+03   -1.5243655278e+02    7.6012396171e+01    3.7192609833e+01    9.1895337630e+00   -1.9881869637e+02    3.1965500000e+05    5.3689419729e-01    9.9687714160e-01
        11   -7.6428957766e+01    5.8435010398e+03   -1.5273728748e+02    7.6308329710e+01    3.7194507963e+01    9.1895337630e+00   -1.9912132920e+02    3.1954300000e+05    5.3808407492e-01    9.9691562443e-01
        12   -7.6422419539e+01    5.8429284879e+03   -1.5315101964e+02    7.6728600103e+01    3.7216400706e+01    9.1895337630e+00   -1.9955695411e+02    3.1944200000e+05    5.3792657551e-01    9.9690533157e-01
