#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.6382517909e+01    5.8375580836e+03   -1.5248658875e+02    7.6104070838e+01    3.7311081470e+01    9.1895337630e+00   -1.9898720398e+02    8.1920000000e+03    1.3041768907e-02    3.0887451172e-01
         1   -7.6375208319e+01    5.8367079024e+03   -1.5233032424e+02    7.5955115920e+01    3.7333478911e+01    9.1895337630e+00   -1.9885333691e+02    8.1920000000e+03    1.3050960403e-02    3.1040527344e-01
         2   -7.6384346207e+01    5.8380356997e+03   -1.5210643385e+02    7.5722087641e+01    3.7292547295e+01    9.1895337630e+00   -1.9858851491e+02    8.1920000000e+03    1.3043115015e-02    3.1075195313e-01
         3   -7.6383950036e+01    5.8382014150e+03   -1.5228661441e+02    7.5902664371e+01    3.7325859983e+01    9.1895337630e+00   -1.9880200815e+02    8.1920000000e+03    1.3045655803e-02    3.0963378906e-01
         4   -7.6367397457e+01    5.8354135634e+03   -1.5206763240e+02    7.5700234940e+01    3.7282386862e+01    9.1895337630e+00   -1.9853955302e+02    8.1920000000e+03    1.3051087446e-02    3.1077392578e-01
         5   -7.6382459272e+01    5.8373064313e+03   -1.5250984578e+02    7.6127386505e+01    3.7298592856e+01    9.1895337630e+00   -1.9899797240e+02    8.1920000000e+03    1.3043264373e-02    3.1128662109e-01
         6   -7.6376877704e+01    5.8366691451e+03   -1.5243895091e+02    7.6062073202e+01    3.7311325933e+01    9.1895337630e+00   -1.9893981060e+02    8.1920000000e+03    1.3041587980e-02    3.0982421875e-01
         7   -7.6387028369e+01    5.8380424153e+03   -1.5255618634e+02    7.6169157967e+01    3.7257782800e+01    9.1895337630e+00   -1.9900350290e+02    8.1920000000e+03    1.3053491159e-02    3.0936035156e-01
         8   -7.6378272569e+01    5.8369288422e+03   -1.5272040653e+02    7.6342133957e+01    3.7318954426e+01    9.1895337630e+00   -1.9922889472e+02    8.1920000000e+03    1.3041473075e-02    3.1040527344e-01
         9   -7.6375349711e+01    5.8365585434e+03   -1.5285530387e+02    7.6479954156e+01    3.7291167735e+01    9.1895337630e+00   -1.9933600536e+02    8.1920000000e+03    1.3043561442e-02    3.1081787109e-01
        10   -7.6379633167e+01    5.8371243731e+03   -1.5301663155e+02    7.6636998380e+01    3.7317503263e+01    9.1895337630e+00   -1.9952366857e+02    8.1920000000e+03    1.3052382307e-02    3.1137695313e-01
        11   -7.6361507431e+01    5.8345104045e+03   -1.5271278009e+02    7.6351272663e+01    3.7272063922e+01    9.1895337630e+00   -1.9917437778e+02    8.1920000000e+03    1.3046837035e-02    3.1100585938e-01
        12   -7.6329801922e+01    5.8295812647e+03   -1.5298411040e+02    7.6654308477e+01    3.7204107345e+01    9.1895337630e+00   -1.9937775151e+02    8.1920000000e+03    1.3042778208e-02    3.0982910156e-01
        13   -7.6398165435e+01    5.8395910263e+03   -1.5311360468e+02    7.6715439243e+01    3.7207915170e+01    9.1895337630e+00   -1.9951105361e+02    8.1920000000e+03    1.3050471037e-02    3.0953613281e-01
        14   -7.6372422596e+01    5.8369415567e+03   -1.5319521760e+02    7.6822795000e+01    3.7384926317e+01    9.1895337630e+00   -1.9976967768e+02    8.1920000000e+03    1.3042251959e-02    3.1044189453e-01
        15   -7.6383989819e+01    5.8376268598e+03   -1.5324987432e+02    7.6865884500e+01    3.7359727494e+01    9.1895337630e+00   -1.9979913558e+02    8.1920000000e+03    1.3046042939e-02    3.0997802734e-01
        16   -7.6347189403e+01    5.8318803899e+03   -1.5324848374e+02    7.6901294341e+01    3.7266248214e+01    9.1895337630e+00   -1.9970426572e+02    8.1920000000e+03    1.3042594837e-02    3.1061035156e-01
        17   -7.6367117030e+01    5.8351097213e+03   -1.5331077508e+02    7.6943658046e+01    3.7342665462e+01    9.1895337630e+00   -1.9984297430e+02    8.1920000000e+03    1.3051885790e-02    3.1081542969e-01
        18   -7.6366215596e+01    5.8356827561e+03   -1.5287836417e+02    7.6512148579e+01    3.7251678766e+01    9.1895337630e+00   -1.9931957670e+02    8.1920000000e+03    1.3041774750e-02    3.1000244141e-01
        19   -7.6367989590e+01    5.8357143942e+03   -1.5306988696e+02    7.6701897366e+01    3.7330028199e+01    9.1895337630e+00   -1.9958944892e+02    8.1920000000e+03    1.3045769857e-02    3.1047851563e-01
        20   -7.6361714611e+01    5.8345596910e+03   -1.5300795673e+02    7.6646242119e+01    3.7290774579e+01    9.1895337630e+00   -1.9948826507e+02    8.1920000000e+03    1.3052596741e-02    3.1118896484e-01
        21   -7.6371802141e+01    5.8359551248e+03   -1.5323634094e+02    7.6864538797e+01    3.7371257355e+01    9.1895337630e+00   -1.9979713206e+02    8.1920000000e+03    1.3042495954e-02    3.1076171875e-01
        22   -7.6366897725e+01    5.8351033998e+03   -1.5305113355e+02    7.6684235829e+01    3.7348149046e+01    9.1895337630e+00   -1.9958881636e+02    8.1920000000e+03    1.3043245930e-02    3.1075683594e-01
        23   -7.6376066571e+01    5.8370379975e+03   -1.5367286146e+02    7.7296794892e+01    3.7387095891e+01    9.1895337630e+00   -2.0024949112e+02    8.1920000000e+03    1.3052907995e-02    3.0964111328e-01
        24   -7.6352624501e+01    5.8329326395e+03   -1.5374037755e+02    7.7387753050e+01    3.7360457932e+01    9.1895337630e+00   -2.0029036925e+02    8.1920000000e+03    1.3041338913e-02    3.0927001953e-01
        25   -7.6360402899e+01    5.8338681524e+03   -1.5319323553e+02    7.6832832635e+01    3.7262008293e+01    9.1895337630e+00   -1.9964477759e+02    8.1920000000e+03    1.3042957589e-02    3.1045410156e-01
        26   -7.6378713454e+01    5.8366138997e+03   -1.5289966118e+02    7.6520947723e+01    3.7350092729e+01    9.1895337630e+00   -1.9943928767e+02    8.1920000000e+03    1.3050620783e-02    3.0988525391e-01
