#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.6603176947e+01    5.8695529222e+03   -1.2942627744e+02    5.2823100493e+01    3.5758056017e+01    9.2930681183e+00   -1.7447740158e+02    1.6000000000e+02    6.6027621851e-03    5.9520833333e-01
         1   -7.6371348336e+01    5.8338990961e+03   -1.3682399975e+02    6.0452651419e+01    3.6802443365e+01    9.2930681183e+00   -1.8291951124e+02    1.6000000000e+02    5.8534893742e-03    5.8645833333e-01
         2   -7.6339407033e+01    5.8288724482e+03   -1.4224306211e+02    6.5903655082e+01    3.8147057721e+01    9.2930681183e+00   -1.8968318795e+02    1.6000000000e+02    6.3041581870e-03    5.8875000000e-01
         3   -7.6392848836e+01    5.8374718868e+03   -1.2732600288e+02    5.0933154046e+01    3.6752930134e+01    9.2930681183e+00   -1.7337200113e+02    1.6000000000e+02    6.7162680043e-03    5.8833333333e-01
         4   -7.6351402707e+01    5.8310027997e+03   -1.3798178584e+02    6.1630383131e+01    3.5417802170e+01    9.2930681183e+00   -1.8269265613e+02    1.6000000000e+02    6.2269200662e-03    5.8875000000e-01
         5   -7.6158897308e+01    5.8051350198e+03   -1.5679351327e+02    8.0634615965e+01    3.6162987420e+01    9.2930681183e+00   -2.0224956881e+02    1.6000000000e+02    6.4258947514e-03    5.8854166667e-01
         6   -7.6233121421e+01    5.8140996914e+03   -1.6431587942e+02    8.8082757997e+01    3.8633516222e+01    9.2930681183e+00   -2.1224246376e+02    1.6000000000e+02    6.4056533756e-03    5.7833333333e-01
         7   -7.6215860419e+01    5.8103889783e+03   -1.5695218748e+02    8.0736327062e+01    3.7534353014e+01    9.2930681183e+00   -2.0377960861e+02    1.6000000000e+02    6.4220336208e-03    6.0062500000e-01
         8   -7.6648104497e+01    5.8803689141e+03   -1.6084377898e+02    8.4195674480e+01    3.7477827164e+01    9.2930681183e+00   -2.0761467426e+02    1.6000000000e+02    6.3816021211e-03    5.8729166667e-01
         9   -7.6228984298e+01    5.8128334253e+03   -1.7014012289e+02    9.3911138595e+01    3.7098978060e+01    9.2930681183e+00   -2.1653216907e+02    1.6000000000e+02    6.2860703747e-03    6.0041666667e-01
