# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -7.6348731131e+01    1.6671427657e+00    2.0530000000e+03    2.0480000000e+03    0.0000000000e+00   -7.6099053009e+01    8.6652052960e-01    9.9316406250e-01
         1   -7.6351047776e+01    1.6915756749e+00    2.0433974027e+03    2.0480000000e+03    0.0000000000e+00   -7.6470652674e+01    8.6274453998e-01    9.9121093750e-01
         2   -7.6377430261e+01    1.7902551251e+00    2.0490672314e+03    2.0540000000e+03    6.2500000000e-01   -7.6497317993e+01    8.6978924582e-01    9.9221032132e-01
         3   -7.6405111040e+01    1.9022269315e+00    2.0496203038e+03    2.0560000000e+03    3.1250000000e-01   -7.6572362282e+01    8.6402946972e-01    9.8784046693e-01
         4   -7.6409031978e+01    1.8230025064e+00    2.0471818604e+03    2.0410000000e+03    5.0000000000e-01   -7.6233919873e+01    8.6834632224e-01    9.9608035277e-01
         5   -7.6371716575e+01    2.1204239003e+00    2.0491048234e+03    2.0600000000e+03    2.5000000000e-01   -7.6701145760e+01    8.6721051979e-01    9.9077669903e-01
         6   -7.6371583355e+01    2.2811650350e+00    2.0484770681e+03    2.0530000000e+03    6.8750000000e-01   -7.6493638118e+01    8.6498299949e-01    9.9074525085e-01
         7   -7.6397334039e+01    1.8330040815e+00    2.0490316627e+03    2.0500000000e+03    4.3750000000e-01   -7.6420387654e+01    8.6891008129e-01    9.9268292683e-01
         8   -7.6400713290e+01    1.7087170195e+00    2.0477782389e+03    2.0460000000e+03    4.3750000000e-01   -7.6348482056e+01    8.6460654206e-01    9.9364613881e-01
         9   -7.6414755337e+01    1.5028134194e+00    2.0484562920e+03    2.0490000000e+03    3.7500000000e-01   -7.6425121394e+01    8.6529081065e-01    9.9560761347e-01
        10   -7.6427076766e+01    1.8012137505e+00    2.0490779476e+03    2.0550000000e+03    4.3750000000e-01   -7.6585362375e+01    8.6308057898e-01    9.9075425791e-01
        11   -7.6468102484e+01    1.7681174469e+00    2.0483206005e+03    2.0450000000e+03    3.7500000000e-01   -7.6353780882e+01    8.6641138841e-01    9.9315403423e-01
        12   -7.6430076920e+01    1.7827996429e+00    2.0466636159e+03    2.0440000000e+03    4.3750000000e-01   -7.6370350742e+01    8.5995517020e-01    9.9119373777e-01
        13   -7.6440299398e+01    2.4775400524e+00    2.0472737218e+03    2.0410000000e+03    3.1250000000e-01   -7.6258885752e+01    8.6610201783e-01    9.9216070554e-01
        14   -7.6355630868e+01    1.7361443014e+00    2.0457992925e+03    2.0430000000e+03    5.0000000000e-01   -7.6318079831e+01    8.6287602100e-01    9.9216837983e-01
        15   -7.6360466936e+01    2.1799809657e+00    2.0474354335e+03    2.0430000000e+03    2.5000000000e-01   -7.6233411301e+01    8.7108049571e-01    9.9608418992e-01
        16   -7.6424714825e+01    1.5505292065e+00    2.0491105660e+03    2.0490000000e+03    4.3750000000e-01   -7.6384875040e+01    8.6247180485e-01    9.9072718399e-01
        17   -7.6443209525e+01    2.1229449987e+00    2.0473456901e+03    2.0410000000e+03    6.2500000000e-01   -7.6253523658e+01    8.5919940884e-01    9.9412052915e-01
        18   -7.6432557174e+01    1.6018675215e+00    2.0482535507e+03    2.0480000000e+03    5.6250000000e-01   -7.6443209525e+01    8.6619561066e-01    9.9414062500e-01
        19   -7.6441205767e+01    1.7068454172e+00    2.0485478107e+03    2.0510000000e+03    4.3750000000e-01   -7.6505745769e+01    8.6684444570e-01    9.9414919551e-01
        20   -7.6454495543e+01    2.0658436548e+00    2.0492430507e+03    2.0560000000e+03    4.3750000000e-01   -7.6636137788e+01    8.6516926021e-01    9.9270428016e-01
        21   -7.6468602834e+01    2.2282166043e+00    2.0512692482e+03    2.0510000000e+03    5.0000000000e-01   -7.6442669539e+01    8.6146055566e-01    9.9366162847e-01
        22   -7.6412210717e+01    1.6865806261e+00    2.0492408050e+03    2.0500000000e+03    3.1250000000e-01   -7.6448826741e+01    8.5743695663e-01    9.9609756098e-01
        23   -7.6359761248e+01    2.3669466296e+00    2.0543020784e+03    2.0570000000e+03    4.3750000000e-01   -7.6459152951e+01    8.6323210476e-01    9.8979095771e-01
        24   -7.6386753552e+01    3.9082538959e+00    2.0452179001e+03    2.0480000000e+03    6.2500000000e-01   -7.6444128715e+01    8.6685845941e-01    9.8828125000e-01
        25   -7.6438997200e+01    1.7801101046e+00    2.0364056118e+03    2.0370000000e+03    3.7500000000e-01   -7.6421869652e+01    8.6045587711e-01    9.9067255768e-01
        26   -7.6443349771e+01    2.1323543427e+00    2.0319284352e+03    2.0310000000e+03    5.0000000000e-01   -7.6412169519e+01    8.6500532574e-01    9.9064500246e-01
        27   -7.6427126865e+01    1.7446882402e+00    2.0236782530e+03    2.0230000000e+03    3.7500000000e-01   -7.6410864545e+01    8.6344014231e-01    9.9357390015e-01
        28   -7.6404398211e+01    1.7065911386e+00    2.0309657538e+03    2.0310000000e+03    4.3750000000e-01   -7.6417336654e+01    8.6664818454e-01    9.9162973904e-01
        29   -7.6441656113e+01    1.9750106814e+00    2.0241431807e+03    2.0240000000e+03    5.6250000000e-01   -7.6414045766e+01    8.6127155342e-01    9.9308300395e-01
        30   -7.6435571450e+01    2.8080676094e+00    2.0295239200e+03    2.0290000000e+03    5.6250000000e-01   -7.6414369524e+01    8.6307166304e-01    9.9704287827e-01
        31   -7.6411873069e+01    2.0367535068e+00    2.0388956109e+03    2.0390000000e+03    3.7500000000e-01   -7.6420919223e+01    8.6854710886e-01    9.9313388916e-01
        32   -7.6456132465e+01    2.5811590873e+00    2.0402753696e+03    2.0400000000e+03    5.0000000000e-01   -7.6422263540e+01    8.6519349150e-01    9.9313725490e-01
        33   -7.6420425169e+01    1.7620227563e+00    2.0403386918e+03    2.0400000000e+03    3.7500000000e-01   -7.6421163204e+01    8.6704945278e-01    9.8921568627e-01
        34   -7.6435439980e+01    1.7923096117e+00    2.0362718106e+03    2.0360000000e+03    5.6250000000e-01   -7.6421418735e+01    8.7200118381e-01    9.9508840864e-01
        35   -7.6474623504e+01    2.8697934151e+00    2.0366288266e+03    2.0360000000e+03    4.3750000000e-01   -7.6420960723e+01    8.6338498375e-01    9.9165029470e-01
        36   -7.6430523614e+01    1.8624840510e+00    2.0385652932e+03    2.0380000000e+03    4.3750000000e-01   -7.6422480225e+01    8.6528642701e-01    9.9509322866e-01
        37   -7.6388228723e+01    2.1756935628e+00    2.0390768646e+03    2.0400000000e+03    3.1250000000e-01   -7.6426240422e+01    8.6322322729e-01    9.9460784314e-01
        38   -7.6405905920e+01    2.2358963663e+00    2.0419484921e+03    2.0430000000e+03    3.1250000000e-01   -7.6427730446e+01    8.6556852519e-01    9.9461576114e-01
        39   -7.6402405694e+01    1.6624504375e+00    2.0480900133e+03    2.0490000000e+03    3.7500000000e-01   -7.6428455309e+01    8.6810195438e-01    9.9267935578e-01
        40   -7.6425095425e+01    2.5260602097e+00    2.0465261921e+03    2.0470000000e+03    5.0000000000e-01   -7.6426375685e+01    8.6132523391e-01    9.9462628236e-01
