#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.6317905797e+01    5.8275985220e+03   -1.5579830939e+02    7.9480403594e+01    3.7960964471e+01    9.2930681183e+00   -2.0305234198e+02    2.0480000000e+03    6.3236964756e-02    3.8918945313e-01
         1   -7.6329944747e+01    5.8292789710e+03   -1.5636028727e+02    8.0030342522e+01    3.7279408049e+01    9.2930681183e+00   -2.0293276344e+02    2.0480000000e+03    6.9002774188e-02    3.9090820312e-01
         2   -7.6225745714e+01    5.8131769793e+03   -1.4736863649e+02    7.1142890777e+01    3.7083227319e+01    9.2930681183e+00   -1.9374493193e+02    2.0480000000e+03    6.7939735251e-02    3.9025878906e-01
         3   -7.6423749050e+01    5.8434063071e+03   -1.5243396602e+02    7.6010216975e+01    3.6922756046e+01    9.2930681183e+00   -1.9864979019e+02    2.0480000000e+03    6.8612435934e-02    3.9040039063e-01
         4   -7.6299951644e+01    5.8250489560e+03   -1.5327357914e+02    7.6973627495e+01    3.8155801273e+01    9.2930681183e+00   -2.0072244853e+02    2.0480000000e+03    6.7038062874e-02    3.8832031250e-01
         5   -7.6252138622e+01    5.8172550491e+03   -1.4857719537e+02    7.2325056752e+01    3.7256921504e+01    9.2930681183e+00   -1.9512718500e+02    2.0480000000e+03    6.7191095130e-02    3.9002441406e-01
         6   -7.6262015671e+01    5.8207573290e+03   -1.3933908874e+02    6.3077073074e+01    3.6878427686e+01    9.2930681183e+00   -1.8551058455e+02    2.0480000000e+03    6.7240040997e-02    3.8945312500e-01
         7   -7.6225125843e+01    5.8134434070e+03   -1.3911303449e+02    6.2887908643e+01    3.7401341610e+01    9.2930681183e+00   -1.8580744421e+02    2.0480000000e+03    6.5860006189e-02    3.8934570312e-01
         8   -7.6336567260e+01    5.8301446171e+03   -1.6647352843e+02    9.0136961175e+01    3.7722775138e+01    9.2930681183e+00   -2.1348937169e+02    2.0480000000e+03    6.8776677626e-02    3.8898437500e-01
         9   -7.6291983084e+01    5.8232715393e+03   -1.4784875645e+02    7.1556773363e+01    3.7434065478e+01    9.2930681183e+00   -1.9457589004e+02    2.0480000000e+03    6.5850948498e-02    3.8921875000e-01
        10   -7.6225646483e+01    5.8137273362e+03   -1.4875675266e+02    7.2531106174e+01    3.8071946203e+01    9.2930681183e+00   -1.9612176698e+02    2.0480000000e+03    6.8126959684e-02    3.8782226562e-01
        11   -7.6332941559e+01    5.8297751578e+03   -1.4805695311e+02    7.1724011548e+01    3.7559425766e+01    9.2930681183e+00   -1.9490944699e+02    2.0480000000e+03    6.8330695003e-02    3.8806152344e-01
        12   -7.6166753088e+01    5.8044400217e+03   -1.5702021437e+02    8.0853461285e+01    3.7504018291e+01    9.2930681183e+00   -2.0381730078e+02    2.0480000000e+03    6.9211863311e-02    3.8904296875e-01
        13   -7.6183597012e+01    5.8067861440e+03   -1.4444859940e+02    6.8265002387e+01    3.7024983678e+01    9.2930681183e+00   -1.9076665120e+02    2.0480000000e+03    6.7906305811e-02    3.9287109375e-01
        14   -7.6338922223e+01    5.8312157610e+03   -1.6728062910e+02    9.0941706879e+01    3.7905232571e+01    9.2930681183e+00   -2.1447892979e+02    2.0480000000e+03    6.7565872938e-02    3.8997558594e-01
        15   -7.6222981924e+01    5.8130373425e+03   -1.4844653084e+02    7.2223548917e+01    3.7533615820e+01    9.2930681183e+00   -1.9527321478e+02    2.0480000000e+03    6.4748745253e-02    3.8939453125e-01
        16   -7.6232305255e+01    5.8181826325e+03   -1.5878170690e+02    8.2549401647e+01    3.7829187115e+01    9.2930681183e+00   -2.0590396213e+02    2.0480000000e+03    6.8625942506e-02    3.8899902344e-01
        17   -7.6241484552e+01    5.8158591860e+03   -1.6127615524e+02    8.5034670689e+01    3.7542316537e+01    9.2930681183e+00   -2.0811153990e+02    2.0480000000e+03    6.7394139629e-02    3.9085449219e-01
        18   -7.6333300046e+01    5.8298338606e+03   -1.5457848569e+02    7.8245185645e+01    3.7846671175e+01    9.2930681183e+00   -2.0171822498e+02    2.0480000000e+03    6.9223032311e-02    3.8778320313e-01
        19   -7.6391859393e+01    5.8384401080e+03   -1.9494317898e+02    1.1855131959e+02    3.7825095041e+01    9.2930681183e+00   -2.4206134214e+02    2.0480000000e+03    6.7581867374e-02    3.8861328125e-01
        20   -7.6295971451e+01    5.8245288809e+03   -1.4925844465e+02    7.2962473197e+01    3.7204878768e+01    9.2930681183e+00   -1.9575639153e+02    2.0480000000e+03    6.7871564999e-02    3.9013183594e-01
        21   -7.6305235623e+01    5.8257491725e+03   -1.5747530609e+02    8.1170070469e+01    3.7822906057e+01    9.2930681183e+00   -2.0459128027e+02    2.0480000000e+03    6.5955901937e-02    3.8978515625e-01
        22   -7.6235699330e+01    5.8156931942e+03   -1.3723137792e+02    6.0995678587e+01    3.7720100218e+01    9.2930681183e+00   -1.8424454625e+02    2.0480000000e+03    6.7348371686e-02    3.8975097656e-01
        23   -7.6137636161e+01    5.7995887296e+03   -1.3563719587e+02    5.9499559708e+01    3.7066364480e+01    9.2930681183e+00   -1.8199662847e+02    2.0480000000e+03    6.9532001253e-02    3.9036132813e-01
        24   -7.6302986235e+01    5.8257378581e+03   -1.4886706429e+02    7.2564078052e+01    3.7603476669e+01    9.2930681183e+00   -1.9576360907e+02    2.0480000000e+03    6.5123665940e-02    3.8928710937e-01
        25   -7.6167447984e+01    5.8044941295e+03   -1.5821516685e+02    8.2047718868e+01    3.7422818085e+01    9.2930681183e+00   -2.0493105306e+02    2.0480000000e+03    6.7227340685e-02    3.9078613281e-01
        26   -7.6282394849e+01    5.8227999004e+03   -1.4851911291e+02    7.2236718065e+01    3.7503519777e+01    9.2930681183e+00   -1.9531570081e+02    2.0480000000e+03    6.4817251683e-02    3.8926757813e-01
        27   -7.6143650108e+01    5.8011518326e+03   -1.5853946767e+02    8.2395817560e+01    3.7782718957e+01    9.2930681183e+00   -2.0561525474e+02    2.0480000000e+03    6.7569101873e-02    3.8893554687e-01
        28   -7.6362420194e+01    5.8351834373e+03   -1.4712371667e+02    7.0761296475e+01    3.7287128247e+01    9.2930681183e+00   -1.9370391303e+02    2.0480000000e+03    6.6131730688e-02    3.8898437500e-01
        29   -7.6258732855e+01    5.8192757682e+03   -1.4263080463e+02    6.6372071772e+01    3.7402754232e+01    9.2930681183e+00   -1.8932662698e+02    2.0480000000e+03    7.1157679873e-02    3.8973144531e-01
