#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.6415639849e+01    5.8414829685e+03   -1.2903049695e+02    5.2614857097e+01    3.7025681108e+01    9.2930681183e+00   -1.7534924617e+02    1.6000000000e+03    8.0530137313e-02    5.8687500000e-01
         1   -7.6259011938e+01    5.8177435917e+03   -1.3669015967e+02    6.0431147728e+01    3.7295865675e+01    9.2930681183e+00   -1.8327909346e+02    1.6000000000e+03    8.0800610376e-02    5.8560416667e-01
         2   -7.6348631013e+01    5.8309598660e+03   -1.5217603272e+02    7.5827401705e+01    3.7930361585e+01    9.2930681183e+00   -1.9939946242e+02    1.6000000000e+03    7.7606203869e-02    5.8379166667e-01
         3   -7.6460334008e+01    5.8480135398e+03   -1.4203342228e+02    6.5573088275e+01    3.7406049258e+01    9.2930681183e+00   -1.8873253966e+02    1.6000000000e+03    7.9998215688e-02    5.8820833333e-01
         4   -7.6238461994e+01    5.8143260625e+03   -1.4988165639e+02    7.3643194401e+01    3.7528599291e+01    9.2930681183e+00   -1.9670332380e+02    1.6000000000e+03    7.8576156749e-02    5.8877083333e-01
         5   -7.6439889657e+01    5.8455074439e+03   -1.7037136549e+02    9.3931475835e+01    3.7399003142e+01    9.2930681183e+00   -2.1706343675e+02    1.6000000000e+03    7.9605731185e-02    5.8737500000e-01
         6   -7.6395037530e+01    5.8384322956e+03   -1.5821950643e+02    8.1824468899e+01    3.6917125148e+01    9.2930681183e+00   -2.0442969970e+02    1.6000000000e+03    7.9881132750e-02    5.8629166667e-01
         7   -7.6305809533e+01    5.8241963063e+03   -1.8442503807e+02    1.0811922854e+02    3.7347160835e+01    9.2930681183e+00   -2.3106526703e+02    1.6000000000e+03    8.1301062753e-02    5.8610416667e-01
         8   -7.6521707278e+01    5.8580025831e+03   -1.5882573330e+02    8.2304026020e+01    3.7317419240e+01    9.2930681183e+00   -2.0543622066e+02    1.6000000000e+03    8.1548963686e-02    5.8456250000e-01
         9   -7.6385095525e+01    5.8369446819e+03   -1.6335417816e+02    8.6969082630e+01    3.7405623730e+01    9.2930681183e+00   -2.1005287000e+02    1.6000000000e+03    8.1328584252e-02    5.9122916667e-01
