#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -2.1683685628e+01    4.7162796024e+02   -4.2093934472e+01    2.0410248845e+01   -5.1390627459e+00   -2.5551327033e+01   -1.3222558413e+01    1.8190137199e+00    2.5600000000e+02    1.9028815756e-01    5.4934082031e-01
         1   -2.1731999781e+01    4.7354401728e+02   -4.2270985136e+01    2.0538985355e+01   -5.3167567375e+00   -2.5551327033e+01   -1.3271769341e+01    1.8688679753e+00    2.5600000000e+02    1.9100541163e-01    5.4223632812e-01
         2   -2.1747386173e+01    4.7426665322e+02   -4.1983699091e+01    2.0236312918e+01   -5.2903654210e+00   -2.5551327033e+01   -1.3433730422e+01    2.2917237848e+00    2.5600000000e+02    1.9068807937e-01    5.4543457031e-01
         3   -2.1592912782e+01    4.6750673171e+02   -4.1734405097e+01    2.0141492315e+01   -5.3855285088e+00   -2.5551327033e+01   -1.2982452931e+01    2.1849033755e+00    2.5600000000e+02    1.8906972594e-01    5.4819335938e-01
         4   -2.1669712994e+01    4.7125212100e+02   -4.1509652875e+01    1.9839939881e+01   -5.1440666180e+00   -2.5551327033e+01   -1.3308868398e+01    2.4946091747e+00    2.5600000000e+02    1.9044015537e-01    5.4667968750e-01
         5   -2.1523637165e+01    4.6537487579e+02   -4.2121681201e+01    2.0598044036e+01   -5.1978095686e+00   -2.5551327033e+01   -1.3932138939e+01    2.5595943390e+00    2.5600000000e+02    1.8966394900e-01    5.5317382812e-01
         6   -2.1486265710e+01    4.6288475788e+02   -4.2079939002e+01    2.0593673292e+01   -5.3837874596e+00   -2.5551327033e+01   -1.3576368010e+01    2.4315435001e+00    2.5600000000e+02    1.8966291475e-01    5.4545898437e-01
         7   -2.1620418681e+01    4.6912259111e+02   -4.1644637802e+01    2.0024219122e+01   -5.5182352698e+00   -2.5551327033e+01   -1.2848468465e+01    2.2733929656e+00    2.5600000000e+02    1.8938377969e-01    5.4902343750e-01
         8   -2.1860232864e+01    4.7915323943e+02   -4.2671927170e+01    2.0811694306e+01   -5.3200051991e+00   -2.5551327033e+01   -1.3558594762e+01    1.7579998242e+00    2.5600000000e+02    1.9125722975e-01    5.4897460937e-01
         9   -2.1786268061e+01    4.7569362115e+02   -4.1965312500e+01    2.0179044439e+01   -5.5653415768e+00   -2.5551327033e+01   -1.2714493461e+01    1.8658495712e+00    2.5600000000e+02    1.8888063094e-01    5.4636230469e-01
        10   -2.1633837495e+01    4.6918707336e+02   -4.1835705524e+01    2.0201868029e+01   -5.0528706840e+00   -2.5551327033e+01   -1.3523658694e+01    2.2921508864e+00    2.5600000000e+02    1.9171031744e-01    5.4497070312e-01
        11   -2.1763678294e+01    4.7471963788e+02   -4.1880825132e+01    2.0117146837e+01   -5.3663837023e+00   -2.5551327033e+01   -1.2720658886e+01    1.7575444899e+00    2.5600000000e+02    1.9006855769e-01    5.4836425781e-01
        12   -2.1851231874e+01    4.7873314991e+02   -4.2585828792e+01    2.0734596918e+01   -5.3454158128e+00   -2.5551327033e+01   -1.3618506561e+01    1.9294206155e+00    2.5600000000e+02    1.9035944988e-01    5.4968261719e-01
        13   -2.1571667996e+01    4.6661285561e+02   -4.2253131561e+01    2.0681463565e+01   -5.3378831705e+00   -2.5551327033e+01   -1.3395356252e+01    2.0314348936e+00    2.5600000000e+02    1.9143556181e-01    5.5012207031e-01
        14   -2.1790279759e+01    4.7590199419e+02   -4.2107042109e+01    2.0316762350e+01   -5.2119660807e+00   -2.5551327033e+01   -1.3152766686e+01    1.8090176901e+00    2.5600000000e+02    1.8994734075e-01    5.4729003906e-01
        15   -2.1653537947e+01    4.7019949770e+02   -4.2086866573e+01    2.0433328625e+01   -5.3540996681e+00   -2.5551327033e+01   -1.3150668509e+01    1.9692286370e+00    2.5600000000e+02    1.8992454769e-01    5.4797363281e-01
        16   -2.1678204986e+01    4.7110395345e+02   -4.2117315461e+01    2.0439110475e+01   -5.3274017832e+00   -2.5551327033e+01   -1.3370397869e+01    2.1318112239e+00    2.5600000000e+02    1.8995632269e-01    5.4406738281e-01
        17   -2.1733040193e+01    4.7337497113e+02   -4.1848873102e+01    2.0115832909e+01   -5.4656139961e+00   -2.5551327033e+01   -1.2784555573e+01    1.9526234997e+00    2.5600000000e+02    1.8987426706e-01    5.4660644531e-01
        18   -2.1738028674e+01    4.7368403663e+02   -4.2178404725e+01    2.0440376051e+01   -5.2573145399e+00   -2.5551327033e+01   -1.3167046293e+01    1.7972831401e+00    2.5600000000e+02    1.9018937506e-01    5.4882812500e-01
        19   -2.1616581883e+01    4.6848115757e+02   -4.1479139002e+01    1.9862557119e+01   -5.4745448467e+00   -2.5551327033e+01   -1.2505212807e+01    2.0519456850e+00    2.5600000000e+02    1.9141911138e-01    5.4736328125e-01
        20   -2.1782146453e+01    4.7567945644e+02   -4.2369561839e+01    2.0587415385e+01   -5.5081735443e+00   -2.5551327033e+01   -1.3448871110e+01    2.1388098485e+00    2.5600000000e+02    1.8914417581e-01    5.5263671875e-01
        21   -2.1696141172e+01    4.7182075022e+02   -4.2208396168e+01    2.0512254996e+01   -5.3586428969e+00   -2.5551327033e+01   -1.3358244541e+01    2.0598183034e+00    2.5600000000e+02    1.8971434431e-01    5.4833984375e-01
        22   -2.1732188204e+01    4.7336743029e+02   -4.2256555027e+01    2.0524366823e+01   -5.4154778061e+00   -2.5551327033e+01   -1.3159770859e+01    1.8700206718e+00    2.5600000000e+02    1.8928468712e-01    5.4411621094e-01
        23   -2.1690889150e+01    4.7161128627e+02   -4.2234356935e+01    2.0543467785e+01   -5.2413791152e+00   -2.5551327033e+01   -1.3707490895e+01    2.2658401074e+00    2.5600000000e+02    1.9189539400e-01    5.4479980469e-01
        24   -2.1684033431e+01    4.7134045051e+02   -4.2670339564e+01    2.0986306134e+01   -5.1355070753e+00   -2.5551327033e+01   -1.3956295386e+01    1.9727899298e+00    2.5600000000e+02    1.9161215763e-01    5.4582519531e-01
        25   -2.1697618536e+01    4.7200399934e+02   -4.1837785816e+01    2.0140167280e+01   -5.3779394596e+00   -2.5551327033e+01   -1.3021592376e+01    2.1130730525e+00    2.5600000000e+02    1.9027539631e-01    5.5000000000e-01
        26   -2.1609236915e+01    4.6837035026e+02   -4.1867750016e+01    2.0258513102e+01   -5.4033773433e+00   -2.5551327033e+01   -1.3035184521e+01    2.1221388810e+00    2.5600000000e+02    1.9112814812e-01    5.4785156250e-01
        27   -2.1649174491e+01    4.6986789454e+02   -4.2643650401e+01    2.0994475910e+01   -5.4154564404e+00   -2.5551327033e+01   -1.3766815967e+01    2.0899490388e+00    2.5600000000e+02    1.8934118906e-01    5.4594726562e-01
        28   -2.1659695384e+01    4.7030909896e+02   -4.2155219425e+01    2.0495524042e+01   -5.2994196084e+00   -2.5551327033e+01   -1.3602781090e+01    2.2983083061e+00    2.5600000000e+02    1.8853009619e-01    5.4838867187e-01
        29   -2.1731674509e+01    4.7348704399e+02   -4.1812745332e+01    2.0081070823e+01   -5.4088059385e+00   -2.5551327033e+01   -1.3039372409e+01    2.1867600484e+00    2.5600000000e+02    1.8932365331e-01    5.5014648437e-01
        30   -2.1803226204e+01    4.7647789794e+02   -4.2210587265e+01    2.0407361061e+01   -5.3633047187e+00   -2.5551327033e+01   -1.3217039548e+01    1.9210840350e+00    2.5600000000e+02    1.9081400575e-01    5.4797363281e-01
        31   -2.1732637478e+01    4.7347709808e+02   -4.2635370445e+01    2.0902732967e+01   -5.4528461014e+00   -2.5551327033e+01   -1.3703899130e+01    2.0727018189e+00    2.5600000000e+02    1.8893543319e-01    5.4843750000e-01
        32   -2.1654217617e+01    4.7017366149e+02   -4.1718508860e+01    2.0064291243e+01   -5.1186902843e+00   -2.5551327033e+01   -1.2782392435e+01    1.7339008916e+00    2.5600000000e+02    1.8967430381e-01    5.4191894531e-01
        33   -2.1742976205e+01    4.7413925147e+02   -4.2011695803e+01    2.0268719599e+01   -5.0766591219e+00   -2.5551327033e+01   -1.3208319439e+01    1.8246097906e+00    2.5600000000e+02    1.9122731438e-01    5.4877929688e-01
        34   -2.1734834237e+01    4.7349555181e+02   -4.2081467747e+01    2.0346633510e+01   -5.4303735694e+00   -2.5551327033e+01   -1.3015688459e+01    1.9159213142e+00    2.5600000000e+02    1.9078601113e-01    5.4780273438e-01
        35   -2.1769217147e+01    4.7512253152e+02   -4.1904352685e+01    2.0135135539e+01   -5.4696549420e+00   -2.5551327033e+01   -1.2821936651e+01    1.9385659402e+00    2.5600000000e+02    1.8928521369e-01    5.5209960937e-01
        36   -2.1746328252e+01    4.7402424122e+02   -4.1701583517e+01    1.9955255265e+01   -5.5998448966e+00   -2.5551327033e+01   -1.2366712380e+01    1.8163007922e+00    2.5600000000e+02    1.9085546450e-01    5.4699707031e-01
        37   -2.1666485223e+01    4.7100790685e+02   -4.1641262238e+01    1.9974777015e+01   -5.2922049473e+00   -2.5551327033e+01   -1.3292373840e+01    2.4946435820e+00    2.5600000000e+02    1.9072328719e-01    5.4704589844e-01
        38   -2.1720782487e+01    4.7279799037e+02   -4.2291714606e+01    2.0570932118e+01   -5.3193129512e+00   -2.5551327033e+01   -1.3350502223e+01    1.9294276011e+00    2.5600000000e+02    1.9164600269e-01    5.5012207031e-01
        39   -2.1701405155e+01    4.7217238749e+02   -4.1935372333e+01    2.0233967178e+01   -5.4736858501e+00   -2.5551327033e+01   -1.2738130439e+01    1.8277709897e+00    2.5600000000e+02    1.9024698837e-01    5.4916992187e-01
        40   -2.1686630532e+01    4.7144745687e+02   -4.2068853976e+01    2.0382223444e+01   -5.4315861179e+00   -2.5551327033e+01   -1.3147213344e+01    2.0612725193e+00    2.5600000000e+02    1.8931485606e-01    5.5290527344e-01
        41   -2.1727532695e+01    4.7303117287e+02   -4.1589439396e+01    1.9861906701e+01   -5.4834318809e+00   -2.5551327033e+01   -1.2511570172e+01    1.9568896894e+00    2.5600000000e+02    1.8933049044e-01    5.4697265625e-01
        42   -2.1568626046e+01    4.6637547436e+02   -4.1879967212e+01    2.0311341166e+01   -5.2646792328e+00   -2.5551327033e+01   -1.3008905828e+01    1.9449448824e+00    2.5600000000e+02    1.9168974094e-01    5.4926757813e-01
        43   -2.1592387733e+01    4.6741535809e+02   -4.2017846145e+01    2.0425458411e+01   -5.2342603094e+00   -2.5551327033e+01   -1.3423055191e+01    2.1907963884e+00    2.5600000000e+02    1.8964220719e-01    5.4709472656e-01
        44   -2.1628628231e+01    4.6937701771e+02   -4.2377739822e+01    2.0749111591e+01   -5.3706421114e+00   -2.5551327033e+01   -1.3352184833e+01    1.8964141554e+00    2.5600000000e+02    1.9071722206e-01    5.4982910156e-01
        45   -2.1657283508e+01    4.7044298105e+02   -4.2120501446e+01    2.0463217938e+01   -5.3188309650e+00   -2.5551327033e+01   -1.3268482425e+01    2.0181389761e+00    2.5600000000e+02    1.9055650363e-01    5.4104003906e-01
