#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         MPC                 BlockWeight         BlockCPU            AcceptRatio         
         0   -4.5152591288e+01    2.0397753890e+03   -8.2273881932e+01    3.7121290643e+01   -1.0748074230e+01   -5.1102678377e+01   -2.4666387161e+01    4.2432578360e+00   -1.0450453079e+01    5.1200000000e+02    1.5698056037e-01    5.6027832031e-01
         1   -4.5167422777e+01    2.0412136047e+03   -8.1936332086e+01    3.6768909309e+01   -1.0718951723e+01   -5.1102678377e+01   -2.4999251460e+01    4.8845494737e+00   -1.0419122689e+01    5.1200000000e+02    1.8653207913e-01    5.5833740234e-01
         2   -4.5185377348e+01    2.0430409688e+03   -8.2026130029e+01    3.6840752681e+01   -1.0931652721e+01   -5.1102678377e+01   -2.4145708686e+01    4.1539097540e+00   -1.0645577101e+01    5.1200000000e+02    1.8631396344e-01    5.6072387695e-01
         3   -4.5108596386e+01    2.0358266350e+03   -8.2079178569e+01    3.6970582183e+01   -1.0983476914e+01   -5.1102678377e+01   -2.4641631561e+01    4.6486082829e+00   -1.0683475660e+01    5.1200000000e+02    1.8970580738e-01    5.6188964844e-01
         4   -4.5131416861e+01    2.0379030958e+03   -8.1543052321e+01    3.6411635460e+01   -1.0860862350e+01   -5.1102678377e+01   -2.3894431769e+01    4.3149201748e+00   -1.0572994313e+01    5.1200000000e+02    1.8721046025e-01    5.6082153320e-01
         5   -4.5074564964e+01    2.0325506115e+03   -8.2017467761e+01    3.6942902797e+01   -1.0786021617e+01   -5.1102678377e+01   -2.4023260924e+01    3.8944931560e+00   -1.0515811002e+01    5.1200000000e+02    1.9264207244e-01    5.5937500000e-01
         6   -4.5013332524e+01    2.0273348493e+03   -8.1691342220e+01    3.6678009696e+01   -1.0678650511e+01   -5.1102678377e+01   -2.4290629616e+01    4.3806162841e+00   -1.0397305581e+01    5.1200000000e+02    1.8711080731e-01    5.6188354492e-01
         7   -4.5195686468e+01    2.0437321133e+03   -8.1917988123e+01    3.6722301655e+01   -1.0829652333e+01   -5.1102678377e+01   -2.4373698759e+01    4.3880413459e+00   -1.0564443961e+01    5.1200000000e+02    1.8958271731e-01    5.6183471680e-01
         8   -4.5127936130e+01    2.0376352790e+03   -8.2543280997e+01    3.7415344867e+01   -1.0788161399e+01   -5.1102678377e+01   -2.5117259353e+01    4.4648181323e+00   -1.0485942868e+01    5.1200000000e+02    1.8917252181e-01    5.5865478516e-01
         9   -4.5094267846e+01    2.0346319429e+03   -8.2296298243e+01    3.7202030397e+01   -1.0664906925e+01   -5.1102678377e+01   -2.4900948916e+01    4.3722359739e+00   -1.0375436754e+01    5.1200000000e+02    1.9300383700e-01    5.5981445312e-01
        10   -4.5136311559e+01    2.0384525468e+03   -8.2120029983e+01    3.6983718424e+01   -1.0894878846e+01   -5.1102678377e+01   -2.4598251917e+01    4.4757791575e+00   -1.0609733954e+01    5.1200000000e+02    1.8793082262e-01    5.5845336914e-01
