#  Band    State   TwistIndex BandIndex Energy      Kx      Ky      Kz      K1      K2      K3    KmK 
       0        0        0        0    -0.297239  0.0000  0.0000  0.0000 -0.0000 -0.0000 -0.0000      1
       1        1        8        0     0.021109 -0.9313  0.0000  0.0000 -0.5000 -0.0000 -0.5000      1
       2        2       16        0     0.021109  0.0000 -0.9313  0.0000 -0.5000 -0.5000 -0.0000      1
       3        3       24        0     0.021109  0.0000  0.0000 -0.9313 -0.0000 -0.5000 -0.5000      1
       4        4        8        1     0.021112 -0.9313  0.0000  0.0000 -0.5000 -0.0000 -0.5000      1
       5        5       16        1     0.021112  0.0000 -0.9313  0.0000 -0.5000 -0.5000 -0.0000      1
       6        6       24        1     0.021112  0.0000  0.0000 -0.9313 -0.0000 -0.5000 -0.5000      1
       7        7        8        2     0.254733 -0.9313  0.0000  0.0000 -0.5000 -0.0000 -0.5000      1
       8        8        8        3     0.254733 -0.9313  0.0000  0.0000 -0.5000 -0.0000 -0.5000      1
       9        9       16        2     0.254733  0.0000 -0.9313  0.0000 -0.5000 -0.5000 -0.0000      1
      10       10       16        3     0.254733  0.0000 -0.9313  0.0000 -0.5000 -0.5000 -0.0000      1
      11       11       24        2     0.254733  0.0000  0.0000 -0.9313 -0.0000 -0.5000 -0.5000      1
      12       12       24        3     0.254733  0.0000  0.0000 -0.9313 -0.0000 -0.5000 -0.5000      1
      13       13        0        1     0.488302  0.0000  0.0000  0.0000 -0.0000 -0.0000 -0.0000      1
      14       14        0        2     0.488302  0.0000  0.0000  0.0000 -0.0000 -0.0000 -0.0000      1
      15       15        0        3     0.488302  0.0000  0.0000  0.0000 -0.0000 -0.0000 -0.0000      1
