#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         MPC                 BlockWeight         BlockCPU            AcceptRatio         
         0   -4.6166019684e+01    2.1320595039e+03   -7.8646293061e+01    3.2480273378e+01   -1.1793363528e+01   -5.1102678377e+01   -2.1056642113e+01    5.3063909565e+00   -1.1643834550e+01    2.0000000000e+01    3.2625557993e-02    8.3281250000e-01
         1   -4.6202333643e+01    2.1353253646e+03   -7.9903640745e+01    3.3701307102e+01   -1.1201077040e+01   -5.1102678377e+01   -2.2605439823e+01    5.0055544954e+00   -1.0874097809e+01    2.0000000000e+01    4.6425054497e-02    8.0208333333e-01
         2   -4.5416219448e+01    2.0642921057e+03   -7.9266390571e+01    3.3850171123e+01   -1.0835495688e+01   -5.1102678377e+01   -2.3125030380e+01    5.7968138728e+00   -1.0473769641e+01    2.0000000000e+01    4.6296859502e-02    8.0937500000e-01
         3   -4.5831922404e+01    2.1007400164e+03   -8.0480441453e+01    3.4648519049e+01   -1.1893286508e+01   -5.1102678377e+01   -2.1844039640e+01    4.3595630715e+00   -1.1602618376e+01    2.0000000000e+01    2.4129453501e-02    8.2083333333e-01
         4   -4.5790874506e+01    2.0985623459e+03   -7.8596995247e+01    3.2806120741e+01   -1.1086294867e+01   -5.1102678377e+01   -2.4204797172e+01    7.7967751685e+00   -1.0764735406e+01    2.0000000000e+01    2.4511657502e-02    8.0989583333e-01
         5   -4.6014138640e+01    2.1183804332e+03   -7.7472331298e+01    3.1458192658e+01   -1.2119952596e+01   -5.1102678377e+01   -1.9272836456e+01    5.0231361309e+00   -1.1834315894e+01    2.0000000000e+01    3.5619415998e-02    8.1822916667e-01
         6   -4.5690053753e+01    2.0899610974e+03   -8.1824507690e+01    3.6134453936e+01   -1.1158130124e+01   -5.1102678377e+01   -2.1876008315e+01    2.3123091257e+00   -1.0876422399e+01    2.0000000000e+01    2.8462809001e-02    8.1250000000e-01
         7   -4.5718294486e+01    2.0908570581e+03   -7.9915473803e+01    3.4197179317e+01   -1.0526892763e+01   -5.1102678377e+01   -2.5617821734e+01    7.3319190703e+00   -1.0168749704e+01    2.0000000000e+01    3.9848913999e-02    8.2083333333e-01
         8   -4.6131855199e+01    2.1287420223e+03   -7.8256876274e+01    3.2125021075e+01   -1.2662680295e+01   -5.1102678377e+01   -1.8716229505e+01    4.2247119024e+00   -1.2295332734e+01    2.0000000000e+01    4.6472899005e-02    8.1093750000e-01
         9   -4.5688431432e+01    2.0879990220e+03   -8.0768730641e+01    3.5080299208e+01   -1.1448672077e+01   -5.1102678377e+01   -2.3953569484e+01    5.7361892976e+00   -1.1167388333e+01    2.0000000000e+01    2.3145024999e-02    8.2187500000e-01
        10   -4.5587787406e+01    2.0792351321e+03   -7.7357276373e+01    3.1769488967e+01   -1.0608761921e+01   -5.1102678377e+01   -2.2692011109e+01    7.0461750336e+00   -1.0287426938e+01    2.0000000000e+01    2.5075060003e-02    8.0625000000e-01
        11   -4.5812534519e+01    2.1000900170e+03   -8.1466365037e+01    3.5653830519e+01   -1.1681467901e+01   -5.1102678377e+01   -2.4780477962e+01    6.0982592027e+00   -1.1391708849e+01    2.0000000000e+01    2.4240026505e-02    8.1406250000e-01
        12   -4.5749468911e+01    2.0939380905e+03   -7.8302347259e+01    3.2552878348e+01   -1.1414830159e+01   -5.1102678377e+01   -2.1460461175e+01    5.6756224523e+00   -1.1053543026e+01    2.0000000000e+01    2.4750646000e-02    8.1510416667e-01
        13   -4.6109484379e+01    2.1265590313e+03   -8.0400434622e+01    3.4290950243e+01   -1.1599446620e+01   -5.1102678377e+01   -2.3624764920e+01    5.9264552942e+00   -1.1409765021e+01    2.0000000000e+01    3.2651334004e-02    8.1093750000e-01
        14   -4.5864069909e+01    2.1043809095e+03   -8.0141967496e+01    3.4277897587e+01   -1.0439624663e+01   -5.1102678377e+01   -2.1808215251e+01    3.2085507943e+00   -1.0275811159e+01    2.0000000000e+01    3.5834315997e-02    8.1562500000e-01
        15   -4.5943534807e+01    2.1115916051e+03   -7.7733512195e+01    3.1789977387e+01   -1.1051982703e+01   -5.1102678377e+01   -2.0147883019e+01    4.5690319042e+00   -1.0888587101e+01    2.0000000000e+01    3.7933393498e-02    8.0833333333e-01
        16   -4.5948257081e+01    2.1122295273e+03   -8.0902045491e+01    3.4953788410e+01   -1.2002335389e+01   -5.1102678377e+01   -2.1220963274e+01    3.4239315489e+00   -1.1788978366e+01    2.0000000000e+01    2.9550785497e-02    7.9895833333e-01
        17   -4.5760587760e+01    2.0946878366e+03   -7.6948114750e+01    3.1187526990e+01   -1.1247265645e+01   -5.1102678377e+01   -1.9235011084e+01    4.6368403563e+00   -1.0907916195e+01    2.0000000000e+01    3.8103905994e-02    8.2447916667e-01
        18   -4.6066104683e+01    2.1230685707e+03   -7.8792724764e+01    3.2726620081e+01   -1.1287284513e+01   -5.1102678377e+01   -2.3121146617e+01    6.7183847419e+00   -1.1046972821e+01    2.0000000000e+01    3.7357153502e-02    8.2239583333e-01
        19   -4.5704548842e+01    2.0898523372e+03   -7.9924419250e+01    3.4219870408e+01   -1.1216591196e+01   -5.1102678377e+01   -2.2948065319e+01    5.3429156417e+00   -1.0952984337e+01    2.0000000000e+01    4.1120880007e-02    8.0625000000e-01
        20   -4.6055709000e+01    2.1217409492e+03   -8.0841938966e+01    3.4786229966e+01   -1.1312319906e+01   -5.1102678377e+01   -2.4693839679e+01    6.2668989962e+00   -1.0979719190e+01    2.0000000000e+01    3.5064653996e-02    8.0833333333e-01
        21   -4.6219959246e+01    2.1371042175e+03   -7.9592996835e+01    3.3373037589e+01   -1.2098734428e+01   -5.1102678377e+01   -2.1977140581e+01    5.5855565498e+00   -1.1762117928e+01    2.0000000000e+01    3.6761812000e-02    8.2031250000e-01
        22   -4.5780074220e+01    2.0964759338e+03   -8.2040724503e+01    3.6260650283e+01   -1.1832635925e+01   -5.1102678377e+01   -2.3652380834e+01    4.5469706317e+00   -1.1535453472e+01    2.0000000000e+01    2.4514892502e-02    8.1562500000e-01
        23   -4.6127916774e+01    2.1288023438e+03   -8.3637191445e+01    3.7509274671e+01   -1.0539387457e+01   -5.1102678377e+01   -2.6196051182e+01    4.2009255712e+00   -1.0323407144e+01    2.0000000000e+01    2.4129579499e-02    8.1406250000e-01
        24   -4.6216797429e+01    2.1370550586e+03   -7.7577918904e+01    3.1361121475e+01   -1.1007679617e+01   -5.1102678377e+01   -2.1872389396e+01    6.4048284865e+00   -1.0750643879e+01    2.0000000000e+01    2.4839507001e-02    8.0520833333e-01
        25   -4.6033586764e+01    2.1207148819e+03   -7.9752469666e+01    3.3718882901e+01   -1.0351518245e+01   -5.1102678377e+01   -2.4500920328e+01    6.2026472845e+00   -1.0014163810e+01    2.0000000000e+01    2.5356167003e-02    8.1250000000e-01
        26   -4.5995239545e+01    2.1166292469e+03   -8.1302293006e+01    3.5307053461e+01   -1.1302828288e+01   -5.1102678377e+01   -2.3544564842e+01    4.6477785002e+00   -1.0993805175e+01    2.0000000000e+01    2.4035053000e-02    8.1458333333e-01
        27   -4.6481197412e+01    2.1627643652e+03   -8.5493822990e+01    3.9012625578e+01   -1.1601205104e+01   -5.1102678377e+01   -2.9525602126e+01    6.7356626175e+00   -1.1353473996e+01    2.0000000000e+01    2.3321424502e-02    7.9635416667e-01
        28   -4.6132415954e+01    2.1292228662e+03   -8.1662713365e+01    3.5530297410e+01   -1.1895088399e+01   -5.1102678377e+01   -2.5383946348e+01    6.7189997588e+00   -1.1583476144e+01    2.0000000000e+01    2.3698254496e-02    7.9947916667e-01
        29   -4.5501870383e+01    2.0726362428e+03   -8.1538594892e+01    3.6036724510e+01   -1.0246415013e+01   -5.1102678377e+01   -2.4197943250e+01    4.0084417478e+00   -9.8512221465e+00    2.0000000000e+01    2.5368979506e-02    8.2187500000e-01
        30   -4.5685297658e+01    2.0878253803e+03   -7.7549654934e+01    3.1864357275e+01   -1.0555719405e+01   -5.1102678377e+01   -2.2448499744e+01    6.5572425917e+00   -1.0333132475e+01    2.0000000000e+01    2.4505183508e-02    8.1614583333e-01
        31   -4.6090734747e+01    2.1253384092e+03   -8.0164234123e+01    3.4073499376e+01   -1.1293776289e+01   -5.1102678377e+01   -2.2334018131e+01    4.5662386732e+00   -1.1003664933e+01    2.0000000000e+01    2.5135155498e-02    8.0104166667e-01
        32   -4.6064018579e+01    2.1236288105e+03   -7.9948820341e+01    3.3884801762e+01   -1.1823993876e+01   -5.1102678377e+01   -2.4448080521e+01    7.4259324313e+00   -1.1599911094e+01    2.0000000000e+01    2.6022220998e-02    8.1458333333e-01
        33   -4.5408196460e+01    2.0624054753e+03   -7.6211669962e+01    3.0803473502e+01   -1.1734127767e+01   -5.1102678377e+01   -1.8272038921e+01    4.8971751027e+00   -1.1274006609e+01    2.0000000000e+01    2.4930562999e-02    8.0833333333e-01
        34   -4.5903304404e+01    2.1083693097e+03   -7.9430780964e+01    3.3527476561e+01   -1.0279961015e+01   -5.1102678377e+01   -2.3212292814e+01    5.1641512407e+00   -9.9925222269e+00    2.0000000000e+01    2.5038760992e-02    8.1302083333e-01
        35   -4.5836327196e+01    2.1016328297e+03   -7.7487789532e+01    3.1651462336e+01   -1.1388077375e+01   -5.1102678377e+01   -2.1931722684e+01    6.9346889033e+00   -1.1118766200e+01    2.0000000000e+01    3.2806446507e-02    8.1718750000e-01
        36   -4.5957674861e+01    2.1131857908e+03   -7.9652271432e+01    3.3694596571e+01   -1.0024370925e+01   -5.1102678377e+01   -2.3851710167e+01    5.3264880375e+00   -9.8706571441e+00    2.0000000000e+01    2.3772570501e-02    8.0937500000e-01
        37   -4.5702439957e+01    2.0895939086e+03   -8.0028138271e+01    3.4325698314e+01   -1.1208935024e+01   -5.1102678377e+01   -2.2797447532e+01    5.0809226626e+00   -1.0943129928e+01    2.0000000000e+01    2.9639170498e-02    8.2656250000e-01
        38   -4.5868146025e+01    2.1049682289e+03   -8.0792173727e+01    3.4924027703e+01   -1.1007317072e+01   -5.1102678377e+01   -2.3819436556e+01    5.1372582772e+00   -1.0725481465e+01    2.0000000000e+01    3.5101278001e-02    8.0104166667e-01
        39   -4.5821421542e+01    2.1005125218e+03   -7.8611687031e+01    3.2790265489e+01   -1.1698145111e+01   -5.1102678377e+01   -2.0241215044e+01    4.4303515009e+00   -1.1422629856e+01    2.0000000000e+01    4.0912457502e-02    8.2031250000e-01
        40   -4.5939302579e+01    2.1107512031e+03   -7.9939025835e+01    3.3999723256e+01   -1.1096530110e+01   -5.1102678377e+01   -2.2860386324e+01    5.1205689760e+00   -1.0787105452e+01    2.0000000000e+01    4.2034190003e-02    7.9739583333e-01
        41   -4.5839128771e+01    2.1025910941e+03   -7.6505866500e+01    3.0666737729e+01   -1.1212066258e+01   -5.1102678377e+01   -1.8833340815e+01    4.6422189494e+00   -1.0747312933e+01    2.0000000000e+01    3.4450438499e-02    8.1041666667e-01
        42   -4.6165415990e+01    2.1316515682e+03   -7.9400690693e+01    3.3235274702e+01   -1.1862050096e+01   -5.1102678377e+01   -1.9796311301e+01    3.3603490804e+00   -1.1487287741e+01    2.0000000000e+01    3.8480700496e-02    8.1406250000e-01
        43   -4.5743836856e+01    2.0934730642e+03   -7.8287604168e+01    3.2543767312e+01   -1.1256202824e+01   -5.1102678377e+01   -1.9724534273e+01    3.7958113052e+00   -1.0871972660e+01    2.0000000000e+01    3.8163747005e-02    8.1145833333e-01
        44   -4.5985184292e+01    2.1158272049e+03   -8.2239326192e+01    3.6254141901e+01   -1.1331939931e+01   -5.1102678377e+01   -2.5305978785e+01    5.5012709004e+00   -1.0992031542e+01    2.0000000000e+01    2.6344342004e-02    8.0677083333e-01
        45   -4.5787799769e+01    2.0972660807e+03   -7.7698194602e+01    3.1910394832e+01   -1.1950699696e+01   -5.1102678377e+01   -2.0608340136e+01    5.9635236069e+00   -1.1691354470e+01    2.0000000000e+01    2.4824663997e-02    8.2343750000e-01
        46   -4.6059161787e+01    2.1233653632e+03   -7.8096846426e+01    3.2037684639e+01   -1.0828018912e+01   -5.1102678377e+01   -2.4416618611e+01    8.2504694741e+00   -1.0460863380e+01    2.0000000000e+01    2.5374438002e-02    8.1979166667e-01
        47   -4.5627944149e+01    2.0824553852e+03   -7.7870632403e+01    3.2242688254e+01   -1.1524829777e+01   -5.1102678377e+01   -2.0722557599e+01    5.4794333507e+00   -1.1213063345e+01    2.0000000000e+01    2.4382927499e-02    8.1197916667e-01
        48   -4.5460870077e+01    2.0683449092e+03   -7.9930159974e+01    3.4469289897e+01   -9.8408657930e+00   -5.1102678377e+01   -2.6082598938e+01    7.0959831336e+00   -9.5213987432e+00    2.0000000000e+01    2.5558042995e-02    8.0677083333e-01
        49   -4.6047169494e+01    2.1210144664e+03   -7.9612857034e+01    3.3565687540e+01   -1.1684570438e+01   -5.1102678377e+01   -2.3098940380e+01    6.2733321602e+00   -1.1355935312e+01    2.0000000000e+01    2.5569558995e-02    8.1666666667e-01
        50   -4.6208082838e+01    2.1360848399e+03   -8.0302142007e+01    3.4094059168e+01   -1.1893007619e+01   -5.1102678377e+01   -2.1701641120e+01    4.3951851089e+00   -1.1581781086e+01    2.0000000000e+01    2.4331118504e-02    8.0416666667e-01
        51   -4.6255097838e+01    2.1399467292e+03   -7.8793785835e+01    3.2538687997e+01   -1.2106066973e+01   -5.1102678377e+01   -1.9916680178e+01    4.3316396923e+00   -1.1930580633e+01    2.0000000000e+01    2.4802843996e-02    7.9947916667e-01
        52   -4.5887125097e+01    2.1061887585e+03   -7.9580383383e+01    3.3693258286e+01   -1.1200629180e+01   -5.1102678377e+01   -2.2105623035e+01    4.8285472078e+00   -1.0995636946e+01    2.0000000000e+01    2.5469896995e-02    8.2447916667e-01
        53   -4.5880939648e+01    2.1059204450e+03   -7.5902131177e+01    3.0021191529e+01   -1.0535108728e+01   -5.1102678377e+01   -1.8577343785e+01    4.3129997123e+00   -1.0229851882e+01    2.0000000000e+01    2.6047124506e-02    8.1718750000e-01
        54   -4.5728930198e+01    2.0917615511e+03   -8.2422605724e+01    3.6693675526e+01   -1.1384833950e+01   -5.1102678377e+01   -2.3382596361e+01    3.4475029646e+00   -1.1038496016e+01    2.0000000000e+01    2.5611159996e-02    8.1354166667e-01
        55   -4.5776793306e+01    2.0961201118e+03   -7.7658333984e+01    3.1881540678e+01   -1.1295659035e+01   -5.1102678377e+01   -1.9780816031e+01    4.5208194584e+00   -1.0978379440e+01    2.0000000000e+01    2.5334038008e-02    8.1822916667e-01
        56   -4.6005515194e+01    2.1175511362e+03   -8.1145962873e+01    3.5140447679e+01   -1.0859634322e+01   -5.1102678377e+01   -2.4367442923e+01    5.1837927491e+00   -1.0555241405e+01    2.0000000000e+01    2.5875620500e-02    8.1718750000e-01
        57   -4.5189932851e+01    2.0432891495e+03   -8.3187458285e+01    3.7997525434e+01   -9.9651180831e+00   -5.1102678377e+01   -2.6633246670e+01    4.5135848452e+00   -9.5946550236e+00    2.0000000000e+01    2.5007715507e-02    8.1093750000e-01
        58   -4.5960870320e+01    2.1135755736e+03   -8.2966664811e+01    3.7005794491e+01   -9.9578968846e+00   -5.1102678377e+01   -2.7196791662e+01    5.2907021126e+00   -9.6887461496e+00    2.0000000000e+01    2.6045164501e-02    7.9895833333e-01
        59   -4.5896671769e+01    2.1069554714e+03   -7.9316095402e+01    3.3419423633e+01   -1.1624919977e+01   -5.1102678377e+01   -2.2214484355e+01    5.6259873069e+00   -1.1395943625e+01    2.0000000000e+01    2.5550236001e-02    8.0989583333e-01
        60   -4.6157709226e+01    2.1318428645e+03   -7.7070338735e+01    3.0912629510e+01   -1.2052872567e+01   -5.1102678377e+01   -1.9113233237e+01    5.1984454450e+00   -1.1638402633e+01    2.0000000000e+01    3.0446030003e-02    8.1718750000e-01
        61   -4.5927311847e+01    2.1103220128e+03   -7.8401433014e+01    3.2474121167e+01   -1.1059694334e+01   -5.1102678377e+01   -2.3872330620e+01    7.6332703167e+00   -1.0771917097e+01    2.0000000000e+01    2.5070370997e-02    8.0104166667e-01
        62   -4.5646508990e+01    2.0846126061e+03   -8.2149658164e+01    3.6503149175e+01   -1.0822868586e+01   -5.1102678377e+01   -2.4507393574e+01    4.2832823723e+00   -1.0437391720e+01    2.0000000000e+01    2.5701642000e-02    8.0625000000e-01
        63   -4.6067874276e+01    2.1237401981e+03   -8.1530071663e+01    3.5462197388e+01   -1.1180760477e+01   -5.1102678377e+01   -2.4579721506e+01    5.3330886958e+00   -1.0877053839e+01    2.0000000000e+01    2.5724564504e-02    8.1041666667e-01
        64   -4.5910160021e+01    2.1086113906e+03   -7.8871791470e+01    3.2961631449e+01   -1.1305046403e+01   -5.1102678377e+01   -2.2360388961e+01    5.8963222711e+00   -1.1016403474e+01    2.0000000000e+01    3.3715508500e-02    8.1145833333e-01
        65   -4.6195890021e+01    2.1349389559e+03   -7.9325376300e+01    3.3129486279e+01   -1.0089645727e+01   -5.1102678377e+01   -2.5373876435e+01    7.2408242389e+00   -9.7957014937e+00    2.0000000000e+01    2.7682142500e-02    8.0416666667e-01
        66   -4.5785201033e+01    2.0975225478e+03   -7.9647236873e+01    3.3862035840e+01   -1.0934865973e+01   -5.1102678377e+01   -2.2555740174e+01    4.9460476508e+00   -1.0649129289e+01    2.0000000000e+01    3.0298086000e-02    8.1562500000e-01
        67   -4.5499048471e+01    2.0706396964e+03   -8.1150586398e+01    3.5651537928e+01   -1.1681616923e+01   -5.1102678377e+01   -2.3906862025e+01    5.5405709266e+00   -1.1362996927e+01    2.0000000000e+01    3.3135550497e-02    8.2083333333e-01
        68   -4.6090596287e+01    2.1249781004e+03   -7.8718915508e+01    3.2628319221e+01   -1.1391073510e+01   -5.1102678377e+01   -2.1928011077e+01    5.7028474565e+00   -1.1083988332e+01    2.0000000000e+01    2.9974133009e-02    8.1145833333e-01
        69   -4.5831619761e+01    2.1013767299e+03   -8.0372775254e+01    3.4541155494e+01   -1.0933747329e+01   -5.1102678377e+01   -2.2061419534e+01    3.7250699848e+00   -1.0621728855e+01    2.0000000000e+01    3.9798736005e-02    8.0156250000e-01
        70   -4.5796108370e+01    2.0982049574e+03   -7.8378108141e+01    3.2581999771e+01   -1.1635877523e+01   -5.1102678377e+01   -2.1478403503e+01    5.8388512620e+00   -1.1261922421e+01    2.0000000000e+01    4.0411737500e-02    7.9895833333e-01
        71   -4.5840681497e+01    2.1022208240e+03   -7.8860016679e+01    3.3019335182e+01   -9.9157522840e+00   -5.1102678377e+01   -2.4039252239e+01    6.1976662200e+00   -9.4837620997e+00    2.0000000000e+01    4.3941250500e-02    8.0989583333e-01
        72   -4.5869549158e+01    2.1051362348e+03   -8.0558920805e+01    3.4689371647e+01   -1.0943571668e+01   -5.1102678377e+01   -2.3831319020e+01    5.3186482599e+00   -1.0605132054e+01    2.0000000000e+01    4.1811777002e-02    7.9322916667e-01
