# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -4.5403464540e+01    8.7820356575e-01    4.3100000000e+02    4.3100000000e+02    0.0000000000e+00   -4.5344509007e+01    9.9718624772e-01    9.9303944316e-01
         1   -4.5380720789e+01    8.5882367073e-01    4.0009994455e+02    4.3100000000e+02    0.0000000000e+00   -6.0332173139e+01    9.9767466428e-01    9.5127610209e-01
         2   -4.5416023286e+01    1.1095642295e+00    4.0006588675e+02    4.1000000000e+02    1.0000000000e+00   -5.0319243307e+01    9.9746161851e-01    9.7317073171e-01
         3   -4.5400641004e+01    8.2014353359e-01    3.9998152087e+02    3.9900000000e+02    1.2500000000e+00   -4.4915397243e+01    9.9817309553e-01    1.0000000000e+00
         4   -4.5424664233e+01    1.0068115030e+00    4.0003377576e+02    4.0300000000e+02    2.5000000000e-01   -4.6895043972e+01    9.9723426385e-01    9.9007444169e-01
         5   -4.5411932779e+01    7.9218488186e-01    3.9998847620e+02    3.9900000000e+02    2.5000000000e-01   -4.4924038190e+01    9.9881586393e-01    1.0000000000e+00
         6   -4.5381101277e+01    8.0242487237e-01    3.9996313634e+02    3.9900000000e+02    0.0000000000e+00   -4.4911306736e+01    9.9772320258e-01    9.9498746867e-01
         7   -4.5453103443e+01    8.0639305774e-01    4.0006959081e+02    3.9700000000e+02    2.5000000000e-01   -4.3875447993e+01    9.9712775994e-01    1.0000000000e+00
         8   -4.5458637025e+01    1.0695831785e+00    3.9999868964e+02    3.9800000000e+02    0.0000000000e+00   -4.4450595078e+01    9.9753817272e-01    1.0000000000e+00
         9   -4.5431084498e+01    8.9547252137e-01    3.9997503455e+02    4.0000000000e+02    2.5000000000e-01   -4.5458637025e+01    9.9666938623e-01    9.9500000000e-01
        10   -4.5437253877e+01    8.2635285044e-01    4.0000827334e+02    3.9900000000e+02    2.5000000000e-01   -4.4930458454e+01    9.9709595112e-01    9.9498746867e-01
        11   -4.5438692656e+01    8.6698845021e-01    4.0000634111e+02    3.9800000000e+02    2.5000000000e-01   -4.4434745512e+01    9.9834310606e-01    1.0000000000e+00
        12   -4.5376098652e+01    1.0369897035e+00    3.9994014122e+02    4.0100000000e+02    2.5000000000e-01   -4.5938068696e+01    9.9816799662e-01    9.9750623441e-01
        13   -4.5380768602e+01    9.5696837370e-01    3.9999956574e+02    4.0000000000e+02    2.5000000000e-01   -4.5376098652e+01    9.9795303656e-01    9.9750000000e-01
        14   -4.5399231019e+01    8.7550477562e-01    4.0001644234e+02    3.9900000000e+02    2.5000000000e-01   -4.4880142558e+01    9.9730691974e-01    9.9498746867e-01
        15   -4.5399109574e+01    8.6296863384e-01    4.0000160787e+02    3.9800000000e+02    5.0000000000e-01   -4.4396722655e+01    9.9846929037e-01    1.0000000000e+00
        16   -4.5421417125e+01    8.2373854456e-01    4.0002478093e+02    4.0100000000e+02    2.5000000000e-01   -4.5898485614e+01    9.9594761081e-01    9.9750623441e-01
        17   -4.5392341869e+01    8.5218060693e-01    3.9996830791e+02    4.0000000000e+02    2.5000000000e-01   -4.5421417125e+01    9.9746682712e-01    1.0000000000e+00
        18   -4.5367905329e+01    9.5890278744e-01    3.9997158094e+02    4.0000000000e+02    0.0000000000e+00   -4.5392341869e+01    9.9725376713e-01    9.9500000000e-01
        19   -4.5377379124e+01    1.0353347548e+00    4.0000343342e+02    3.9800000000e+02    5.0000000000e-01   -4.4365396964e+01    9.9737168673e-01    1.0000000000e+00
        20   -4.5337412070e+01    9.4101775944e-01    3.9995316629e+02    3.9900000000e+02    0.0000000000e+00   -4.4876753080e+01    9.9620973748e-01    1.0000000000e+00
        21   -4.5307872857e+01    9.7415238982e-01    3.9996350784e+02    3.9900000000e+02    0.0000000000e+00   -4.4836786026e+01    9.9738415975e-01    9.9749373434e-01
        22   -4.5298116417e+01    9.4054269253e-01    3.9999500362e+02    4.0000000000e+02    5.0000000000e-01   -4.5307872857e+01    9.9624622927e-01    9.9750000000e-01
        23   -4.5281625533e+01    9.1963884879e-01    3.9997721759e+02    3.9900000000e+02    2.5000000000e-01   -4.4797490373e+01    9.9687617283e-01    1.0000000000e+00
        24   -4.5299361035e+01    1.0872695593e+00    4.0001475880e+02    4.0000000000e+02    2.5000000000e-01   -4.5281625533e+01    9.9756325257e-01    1.0000000000e+00
        25   -4.5337403362e+01    1.1296256801e+00    4.0003762455e+02    4.0100000000e+02    2.5000000000e-01   -4.5798737075e+01    9.9794206656e-01    9.9501246883e-01
        26   -4.5303249562e+01    9.2960913786e-01    3.9996248490e+02    3.9900000000e+02    5.0000000000e-01   -4.4836777318e+01    9.9800724929e-01    1.0000000000e+00
        27   -4.5346501296e+01    9.9461849677e-01    4.0005175634e+02    4.0100000000e+02    2.5000000000e-01   -4.5802625601e+01    9.9671941301e-01    9.9750623441e-01
