#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         MPC                 BlockWeight         BlockCPU            AcceptRatio         
         0   -4.5356899243e+01    2.0581947134e+03   -8.1664918163e+01    3.6308018919e+01   -1.1175037092e+01   -5.1102678377e+01   -2.3913690616e+01    4.5264879227e+00   -1.0928691076e+01    1.6030000000e+04    4.8645073430e+00    9.9846496564e-01
         1   -4.5295137636e+01    2.0527280689e+03   -8.1976786465e+01    3.6681648828e+01   -1.0976748701e+01   -5.1102678377e+01   -2.4610148020e+01    4.7127886334e+00   -1.0692594123e+01    1.6007000000e+04    4.8723622942e+00    9.9842263156e-01
         2   -4.5223135254e+01    2.0462343703e+03   -8.2280008682e+01    3.7056873428e+01   -1.0822064082e+01   -5.1102678377e+01   -2.4998108498e+01    4.6428422752e+00   -1.0526302550e+01    1.5988000000e+04    4.8761175938e+00    9.9842428537e-01
         3   -4.5271099881e+01    2.0505584894e+03   -8.2392578675e+01    3.7121478794e+01   -1.0869669134e+01   -5.1102678377e+01   -2.5113815806e+01    4.6935846424e+00   -1.0600060200e+01    1.6230000000e+04    4.9351352000e+00    9.9831509285e-01
         4   -4.5265352507e+01    2.0500361960e+03   -8.2306715921e+01    3.7041363413e+01   -1.0865774081e+01   -5.1102678377e+01   -2.5028094857e+01    4.6898313943e+00   -1.0587643521e+01    1.6139000000e+04    4.9189641607e+00    9.9839454179e-01
         5   -4.5262061558e+01    2.0497649159e+03   -8.2455600891e+01    3.7193539333e+01   -1.0903421697e+01   -5.1102678377e+01   -2.5062115300e+01    4.6126144831e+00   -1.0619268628e+01    1.6180000000e+04    4.9314636795e+00    9.9836387605e-01
         6   -4.5244277168e+01    2.0480846351e+03   -8.2261057978e+01    3.7016780810e+01   -1.0914691784e+01   -5.1102678377e+01   -2.4631503438e+01    4.3878156199e+00   -1.0657240676e+01    1.6075000000e+04    4.8735352493e+00    9.9847426247e-01
         7   -4.5224447383e+01    2.0462780434e+03   -8.2102480370e+01    3.6878032988e+01   -1.1096064761e+01   -5.1102678377e+01   -2.4713732194e+01    4.8099949615e+00   -1.0827775353e+01    1.6116000000e+04    4.8967460000e+00    9.9830983858e-01
         8   -4.5231604379e+01    2.0470275097e+03   -8.1911620715e+01    3.6680016336e+01   -1.0997754584e+01   -5.1102678377e+01   -2.4069011757e+01    4.2578240023e+00   -1.0727043777e+01    1.6019000000e+04    4.8751704678e+00    9.9828120862e-01
         9   -4.5252071779e+01    2.0487968799e+03   -8.2238546564e+01    3.6986474785e+01   -1.1109004017e+01   -5.1102678377e+01   -2.4400630017e+01    4.3737658472e+00   -1.0843711852e+01    1.6028000000e+04    4.8824852717e+00    9.9840506155e-01
        10   -4.5270896187e+01    2.0504561031e+03   -8.2346426088e+01    3.7075529901e+01   -1.1036391869e+01   -5.1102678377e+01   -2.4877276654e+01    4.6699208117e+00   -1.0777866024e+01    1.5995000000e+04    4.8677289722e+00    9.9837713282e-01
        11   -4.5264932628e+01    2.0499354808e+03   -8.2498659227e+01    3.7233726599e+01   -1.0984083720e+01   -5.1102678377e+01   -2.4814914749e+01    4.4030176190e+00   -1.0728171303e+01    1.5735000000e+04    4.7762424517e+00    9.9823642114e-01
        12   -4.5285975472e+01    2.0518699095e+03   -8.2361047719e+01    3.7075072247e+01   -1.1143774852e+01   -5.1102678377e+01   -2.4510826957e+01    4.3962324667e+00   -1.0878915137e+01    1.6032000000e+04    4.8408179960e+00    9.9834130475e-01
        13   -4.5227059184e+01    2.0465551970e+03   -8.1995597880e+01    3.6768538695e+01   -1.1004681882e+01   -5.1102678377e+01   -2.4448561707e+01    4.5603240860e+00   -1.0731246852e+01    1.5822000000e+04    4.7883202258e+00    9.9847986967e-01
        14   -4.5233803339e+01    2.0472298261e+03   -8.1675928748e+01    3.6442125409e+01   -1.0887756818e+01   -5.1102678377e+01   -2.4304071620e+01    4.6185780672e+00   -1.0608160243e+01    1.5643000000e+04    4.8027135087e+00    9.9833788710e-01
        15   -4.5238354334e+01    2.0474840759e+03   -8.1869479484e+01    3.6631125150e+01   -1.0854930018e+01   -5.1102678377e+01   -2.4417361676e+01    4.5054905863e+00   -1.0578383960e+01    1.5363000000e+04    4.7634556515e+00    9.9844234411e-01
        16   -4.5249565717e+01    2.0485223940e+03   -8.2148221947e+01    3.6898656230e+01   -1.0933218788e+01   -5.1102678377e+01   -2.4539833221e+01    4.4275084387e+00   -1.0648332623e+01    1.5167000000e+04    4.6177230873e+00    9.9838504331e-01
        17   -4.5221861700e+01    2.0459638551e+03   -8.1745910849e+01    3.6524049149e+01   -1.0934816713e+01   -5.1102678377e+01   -2.4308031724e+01    4.5996159646e+00   -1.0652525344e+01    1.5217000000e+04    4.6201400610e+00    9.9833239854e-01
        18   -4.5225307015e+01    2.0464414876e+03   -8.1874705219e+01    3.6649398204e+01   -1.0935278231e+01   -5.1102678377e+01   -2.4419291606e+01    4.5825429941e+00   -1.0654961440e+01    1.5026000000e+04    4.6460069793e+00    9.9836809400e-01
        19   -4.5297712413e+01    2.0529171860e+03   -8.1784273961e+01    3.6486561547e+01   -1.1049317487e+01   -5.1102678377e+01   -2.4055277941e+01    4.4229998444e+00   -1.0780741603e+01    1.4859000000e+04    4.5803347940e+00    9.9847741947e-01
        20   -4.5285671199e+01    2.0518414287e+03   -8.2333955880e+01    3.7048284681e+01   -1.1002926472e+01   -5.1102678377e+01   -2.4646493057e+01    4.4181420260e+00   -1.0740442613e+01    1.5051000000e+04    4.5900699388e+00    9.9826255672e-01
        21   -4.5266781826e+01    2.0502624893e+03   -8.2495382491e+01    3.7228600665e+01   -1.0824346151e+01   -5.1102678377e+01   -2.4976824625e+01    4.4084666612e+00   -1.0546766845e+01    1.5291000000e+04    4.6920576185e+00    9.9829486657e-01
        22   -4.5186208217e+01    2.0428340633e+03   -8.2457759536e+01    3.7271551319e+01   -1.0947425681e+01   -5.1102678377e+01   -2.4510471538e+01    4.1028160593e+00   -1.0674576739e+01    1.5134000000e+04    4.6310678275e+00    9.9836655562e-01
        23   -4.5227352201e+01    2.0465036684e+03   -8.1681030591e+01    3.6453678390e+01   -1.0997976980e+01   -5.1102678377e+01   -2.3773814370e+01    4.1934391355e+00   -1.0724252652e+01    1.5054000000e+04    4.6433727497e+00    9.9842728481e-01
        24   -4.5218876190e+01    2.0457289532e+03   -8.1641154375e+01    3.6422278185e+01   -1.0924428342e+01   -5.1102678377e+01   -2.3791406744e+01    4.1773590876e+00   -1.0649132366e+01    1.4925000000e+04    4.5702390153e+00    9.9823083701e-01
        25   -4.5262157477e+01    2.0495835211e+03   -8.1641628684e+01    3.6379471207e+01   -1.1117936663e+01   -5.1102678377e+01   -2.3803230161e+01    4.3822165169e+00   -1.0841703132e+01    1.4891000000e+04    4.5480704635e+00    9.9843811016e-01
        26   -4.5247034719e+01    2.0482638726e+03   -8.1731696830e+01    3.6484662112e+01   -1.1084748575e+01   -5.1102678377e+01   -2.4087345490e+01    4.5430756111e+00   -1.0804580389e+01    1.5022000000e+04    4.6018102472e+00    9.9842364013e-01
        27   -4.5211723754e+01    2.0450643361e+03   -8.1685933549e+01    3.6474209795e+01   -1.1029029660e+01   -5.1102678377e+01   -2.4000505395e+01    4.4462798824e+00   -1.0754143019e+01    1.4889000000e+04    4.5720249853e+00    9.9847160137e-01
        28   -4.5193956830e+01    2.0435155271e+03   -8.1481341552e+01    3.6287384722e+01   -1.1073169514e+01   -5.1102678377e+01   -2.3659688942e+01    4.3541952803e+00   -1.0780119645e+01    1.4934000000e+04    4.5874182618e+00    9.9830708533e-01
        29   -4.5211597833e+01    2.0452353790e+03   -8.2172386816e+01    3.6960788983e+01   -1.1168145836e+01   -5.1102678377e+01   -2.4349450918e+01    4.4478883147e+00   -1.0887542146e+01    1.5492000000e+04    4.7372894747e+00    9.9833782186e-01
