#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         MPC                 BlockWeight         BlockCPU            AcceptRatio         
         0   -4.5109199169e+01    2.0358624658e+03   -8.1316692450e+01    3.6207493280e+01   -1.0764572482e+01   -5.1102678377e+01   -2.3640245199e+01    4.1908036085e+00   -1.0448591601e+01    5.1200000000e+02    1.3244396800e-01    5.5742797852e-01
         1   -4.5186160092e+01    2.0428976065e+03   -8.1896803664e+01    3.6710643571e+01   -1.0809269991e+01   -5.1102678377e+01   -2.4293882978e+01    4.3090276815e+00   -1.0513433898e+01    5.1200000000e+02    1.8757845663e-01    5.6372070312e-01
         2   -4.5046533160e+01    2.0302796152e+03   -8.1479419073e+01    3.6432885913e+01   -1.0619200889e+01   -5.1102678377e+01   -2.4459315365e+01    4.7017755571e+00   -1.0303045659e+01    5.1200000000e+02    1.8539808912e-01    5.5892333984e-01
         3   -4.5007209922e+01    2.0266711972e+03   -8.1854142347e+01    3.6846932425e+01   -1.0370291498e+01   -5.1102678377e+01   -2.4465316230e+01    4.0841437577e+00   -1.0050563879e+01    5.1200000000e+02    1.9082491013e-01    5.6166992187e-01
         4   -4.5009297758e+01    2.0271980162e+03   -8.1937317416e+01    3.6928019658e+01   -1.0625485549e+01   -5.1102678377e+01   -2.4561350904e+01    4.3521974140e+00   -1.0307235691e+01    5.1200000000e+02    1.8765568850e-01    5.6052246094e-01
         5   -4.5101075577e+01    2.0350938169e+03   -8.1841574652e+01    3.6740499075e+01   -1.0636485745e+01   -5.1102678377e+01   -2.4867719097e+01    4.7653085672e+00   -1.0364363592e+01    5.1200000000e+02    1.9653424988e-01    5.5966186523e-01
         6   -4.5121922403e+01    2.0371123854e+03   -8.1830089779e+01    3.6708167376e+01   -1.0837883688e+01   -5.1102678377e+01   -2.4136838375e+01    4.2473106613e+00   -1.0532413106e+01    5.1200000000e+02    1.8682591106e-01    5.5913085937e-01
         7   -4.5104252926e+01    2.0353502335e+03   -8.1833268238e+01    3.6729015312e+01   -1.0948189351e+01   -5.1102678377e+01   -2.4365313878e+01    4.5829133681e+00   -1.0667487093e+01    5.1200000000e+02    1.8837628050e-01    5.5854492188e-01
         8   -4.5038476645e+01    2.0296450399e+03   -8.2230738064e+01    3.7192261420e+01   -1.0650561776e+01   -5.1102678377e+01   -2.4642427859e+01    4.1649299468e+00   -1.0343907353e+01    5.1200000000e+02    1.9165114750e-01    5.6162109375e-01
         9   -4.5078946791e+01    2.0331813821e+03   -8.1178486379e+01    3.6099539588e+01   -1.0888225438e+01   -5.1102678377e+01   -2.3598291782e+01    4.4107092176e+00   -1.0594637484e+01    5.1200000000e+02    1.8991556688e-01    5.5993041992e-01
